Time (sec) ,  Temperature (C) ,measured,,   ,   ,   ,   ,   ,   ,   ,   ,   ,  
151,54,2.12,,,,,,,,,,,
152,54.2,2.12,,,,,,,,,,,
153,54.4,2.12,,,,,,,,,,,
154,54.7,2.12,,,,,,,,,,,
155,54.9,2.12,,,,,,,,,,,
156,55.1,2.12,,,,,,,,,,,
157,55.4,2.12,,,,,,,,,,,
158,55.6,2.12,,,,,,,,,,,
159,55.9,2.12,,,,,,,,,,,
160,56.1,2.12,,,,,,,,,,,
161,56.3,2.12,,,,,,,,,,,
162,56.5,2.12,,,,,,,,,,,
163,56.8,2.11,,,,,,,,,,,
164,57,2.12,,,,,,,,,,,
165,57.3,2.11,,,,,,,,,,,
166,57.5,2.12,,,,,,,,,,,
167,57.7,2.11,,,,,,,,,,,
168,57.9,2.12,,,,,,,,,,,
169,58.2,2.12,,,,,,,,,,,
170,58.5,2.11,,,,,,,,,,,
171,58.7,2.11,,,,,,,,,,,
172,58.9,2.12,,,,,,,,,,,
173,59.1,2.12,,,,,,,,,,,
174,59.4,2.12,,,,,,,,,,,
175,59.6,2.12,,,,,,,,,,,
176,59.9,2.12,,,,,,,,,,,
177,60.1,2.11,,,,,,,,,,,
178,60.3,2.11,,,,,,,,,,,
179,60.5,2.11,,,,,,,,,,,
180,60.8,2.11,,,,,,,,,,,
181,61,2.11,,,,,,,,,,,
182,61.3,2.11,,,,,,,,,,,
183,61.5,2.11,,,,,,,,,,,
184,61.7,2.11,,,,,,,,,,,
185,61.9,2.11,,,,,,,,,,,
186,62.2,2.11,,,,,,,,,,,
187,62.4,2.11,,,,,,,,,,,
188,62.6,2.11,,,,,,,,,,,
189,62.9,2.11,,,,,,,,,,,
190,63.1,2.11,,,,,,,,,,,
191,63.3,2.11,,,,,,,,,,,
192,63.5,2.11,,,,,,,,,,,
193,63.8,2.11,,,,,,,,,,,
194,64,2.11,,,,,,,,,,,
195,64.2,2.11,,,,,,,,,,,
196,64.4,2.11,,,,,,,,,,,
197,64.6,2.11,,,,,,,,,,,
198,64.9,2.11,,,,,,,,,,,
199,65.1,2.11,,,,,,,,,,,
200,65.3,2.11,,,,,,,,,,,
201,65.5,2.11,,,,,,,,,,,
202,65.8,2.11,,,,,,,,,,,
203,66,2.11,,,,,,,,,,,
204,66.2,2.11,,,,,,,,,,,
205,66.4,2.11,,,,,,,,,,,
206,66.7,2.11,,,,,,,,,,,
207,66.9,2.11,,,,,,,,,,,
208,67.1,2.11,,,,,,,,,,,
209,67.3,2.11,,,,,,,,,,,
210,67.5,2.11,,,,,,,,,,,
211,67.8,2.11,,,,,,,,,,,
212,68,2.11,,,,,,,,,,,
213,68.2,2.11,,,,,,,,,,,
214,68.4,2.11,,,,,,,,,,,
215,68.6,2.12,,,,,,,,,,,
216,68.8,2.12,,,,,,,,,,,
217,69,2.12,,,,,,,,,,,
218,69.3,2.12,,,,,,,,,,,
219,69.5,2.12,,,,,,,,,,,
220,69.7,2.13,,,,,,,,,,,
221,69.9,2.12,,,,,,,,,,,
222,70.1,2.12,,,,,,,,,,,
223,70.3,2.12,,,,,,,,,,,
224,70.5,2.11,,,,,,,,,,,
225,70.7,2.11,,,,,,,,,,,
226,70.9,2.11,,,,,,,,,,,
227,71.1,2.11,,,,,,,,,,,
228,71.3,2.11,,,,,,,,,,,
229,71.6,2.11,,,,,,,,,,,
230,71.8,2.11,,,,,,,,,,,
231,72,2.11,,,,,,,,,,,
232,72.2,2.11,,,,,,,,,,,
233,72.4,2.12,,,,,,,,,,,
234,72.6,2.12,,,,,,,,,,,
235,72.9,2.12,,,,,,,,,,,
236,73.1,2.12,,,,,,,,,,,
237,73.3,2.12,,,,,,,,,,,
238,73.5,2.12,,,,,,,,,,,
239,73.7,2.12,,,,,,,,,,,
240,73.8,2.12,,,,,,,,,,,
241,74.1,2.12,,,,,,,,,,,
242,74.3,2.12,,,,,,,,,,,
243,74.5,2.12,,,,,,,,,,,
244,74.7,2.12,,,,,,,,,,,
245,74.9,2.12,,,,,,,,,,,
246,75.1,2.12,,,,,,,,,,,
247,75.3,2.11,,,,,,,,,,,
248,75.5,2.11,,,,,,,,,,,
249,75.7,2.11,,,,,,,,,,,
250,75.9,2.11,,,,,,,,,,,
251,76.1,2.11,,,,,,,,,,,
252,76.3,2.11,,,,,,,,,,,
253,76.5,2.11,,,,,,,,,,,
254,76.7,2.11,,,,,,,,,,,
255,76.9,2.11,,,,,,,,,,,
256,77.1,2.11,,,,,,,,,,,
257,77.3,2.11,,,,,,,,,,,
258,77.5,2.11,,,,,,,,,,,
259,77.8,2.11,,,,,,,,,,,
260,78,2.11,,,,,,,,,,,
261,78.1,2.11,,,,,,,,,,,
262,78.3,2.11,,,,,,,,,,,
263,78.5,2.11,,,,,,,,,,,
264,78.7,2.12,,,,,,,,,,,
265,79,2.12,,,,,,,,,,,
266,79.1,2.12,,,,,,,,,,,
267,79.3,2.12,,,,,,,,,,,
268,79.5,2.12,,,,,,,,,,,
269,79.7,2.12,,,,,,,,,,,
270,79.9,2.12,,,,,,,,,,,
271,80.1,2.12,,,,,,,,,,,
272,80.3,2.12,,,,,,,,,,,
273,80.5,2.12,,,,,,,,,,,
274,80.7,2.12,,,,,,,,,,,
275,80.9,2.12,,,,,,,,,,,
276,81.1,2.12,,,,,,,,,,,
277,81.3,2.12,,,,,,,,,,,
278,81.5,2.12,,,,,,,,,,,
279,81.7,2.13,,,,,,,,,,,
280,81.9,2.12,,,,,,,,,,,
281,82.1,2.12,,,,,,,,,,,
282,82.2,2.12,,,,,,,,,,,
283,82.4,2.12,,,,,,,,,,,
284,82.7,2.12,,,,,,,,,,,
285,82.9,2.12,,,,,,,,,,,
286,83,2.11,,,,,,,,,,,
287,83.2,2.11,,,,,,,,,,,
288,83.4,2.11,,,,,,,,,,,
289,83.6,2.11,,,,,,,,,,,
290,83.8,2.11,,,,,,,,,,,
291,84,2.11,,,,,,,,,,,
292,84.2,2.11,,,,,,,,,,,
293,84.4,2.11,,,,,,,,,,,
294,84.5,2.11,,,,,,,,,,,
295,84.7,2.11,,,,,,,,,,,
296,85,2.11,,,,,,,,,,,
297,85.1,2.11,,,,,,,,,,,
298,85.3,2.11,,,,,,,,,,,
299,85.5,2.11,,,,,,,,,,,
300,85.7,2.11,,,,,,,,,,,
301,85.9,2.11,,,,,,,,,,,
302,86.1,2.11,,,,,,,,,,,
303,86.3,2.11,,,,,,,,,,,
304,86.4,2.11,,,,,,,,,,,
305,86.6,2.11,,,,,,,,,,,
306,86.8,2.11,,,,,,,,,,,
307,87,2.12,,,,,,,,,,,
308,87.2,2.12,,,,,,,,,,,
309,87.4,2.12,,,,,,,,,,,
310,87.6,2.12,,,,,,,,,,,
311,87.7,2.12,,,,,,,,,,,
312,87.9,2.13,,,,,,,,,,,
313,88.1,2.12,,,,,,,,,,,
314,88.3,2.12,,,,,,,,,,,
315,88.5,2.12,,,,,,,,,,,
316,88.7,2.12,,,,,,,,,,,
317,88.8,2.12,,,,,,,,,,,
318,89,2.12,,,,,,,,,,,
319,89.2,2.13,,,,,,,,,,,
320,89.4,2.12,,,,,,,,,,,
321,89.6,2.12,,,,,,,,,,,
322,89.8,2.12,,,,,,,,,,,
323,89.9,2.13,,,,,,,,,,,
324,90.1,2.13,,,,,,,,,,,
325,90.3,2.12,,,,,,,,,,,
326,90.5,2.12,,,,,,,,,,,
327,90.7,2.12,,,,,,,,,,,
328,90.8,2.12,,,,,,,,,,,
329,91,2.12,,,,,,,,,,,
330,91.2,2.13,,,,,,,,,,,
331,91.4,2.12,,,,,,,,,,,
332,91.6,2.12,,,,,,,,,,,
333,91.7,2.12,,,,,,,,,,,
334,91.9,2.13,,,,,,,,,,,
335,92.1,2.12,,,,,,,,,,,
336,92.3,2.12,,,,,,,,,,,
337,92.4,2.12,,,,,,,,,,,
338,92.6,2.12,,,,,,,,,,,
339,92.8,2.13,,,,,,,,,,,
340,93,2.12,,,,,,,,,,,
341,93.1,2.12,,,,,,,,,,,
342,93.3,2.12,,,,,,,,,,,
343,93.5,2.12,,,,,,,,,,,
344,93.7,2.12,,,,,,,,,,,
345,93.9,2.12,,,,,,,,,,,
346,94,2.11,,,,,,,,,,,
347,94.2,2.11,,,,,,,,,,,
348,94.4,2.11,,,,,,,,,,,
349,94.5,2.11,,,,,,,,,,,
350,94.7,2.11,,,,,,,,,,,
351,94.9,2.11,,,,,,,,,,,
352,95.1,2.11,,,,,,,,,,,
353,95.2,2.11,,,,,,,,,,,
354,95.4,2.11,,,,,,,,,,,
355,95.6,2.11,,,,,,,,,,,
356,95.8,2.11,,,,,,,,,,,
357,95.9,2.11,,,,,,,,,,,
358,96.1,2.11,,,,,,,,,,,
359,96.3,2.11,,,,,,,,,,,
360,96.4,2.12,,,,,,,,,,,
361,96.6,2.12,,,,,,,,,,,
362,96.8,2.12,,,,,,,,,,,
363,97,2.12,,,,,,,,,,,
364,97.1,2.12,,,,,,,,,,,
365,97.3,2.12,,,,,,,,,,,
366,97.5,2.12,,,,,,,,,,,
367,97.6,2.12,,,,,,,,,,,
368,97.8,2.12,,,,,,,,,,,
369,98,2.12,,,,,,,,,,,
370,98.1,2.12,,,,,,,,,,,
371,98.3,2.13,,,,,,,,,,,
372,98.5,2.12,,,,,,,,,,,
373,98.6,2.12,,,,,,,,,,,
374,98.8,2.13,,,,,,,,,,,
375,99,2.13,,,,,,,,,,,
376,99.1,2.13,,,,,,,,,,,
377,99.3,2.12,,,,,,,,,,,
