Time (sec) ,  Temperature (C) ,measured,,   ,   ,   ,   ,   ,   ,   ,   ,   ,  
663,137.9,1.83,,,,,,,,,,,
664,138,1.83,,,,,,,,,,,
665,138.1,1.84,,,,,,,,,,,
666,138.2,1.83,,,,,,,,,,,
667,138.3,1.83,,,,,,,,,,,
668,138.4,1.83,,,,,,,,,,,
669,138.5,1.83,,,,,,,,,,,
670,138.6,1.83,,,,,,,,,,,
671,138.8,1.83,,,,,,,,,,,
672,138.9,1.83,,,,,,,,,,,
673,139,1.83,,,,,,,,,,,
674,139.1,1.83,,,,,,,,,,,
675,139.2,1.83,,,,,,,,,,,
676,139.3,1.83,,,,,,,,,,,
677,139.4,1.83,,,,,,,,,,,
678,139.5,1.83,,,,,,,,,,,
679,139.6,1.83,,,,,,,,,,,
680,139.7,1.83,,,,,,,,,,,
681,139.8,1.83,,,,,,,,,,,
682,139.9,1.83,,,,,,,,,,,
683,140,1.83,,,,,,,,,,,
684,140.1,1.83,,,,,,,,,,,
685,140.2,1.83,,,,,,,,,,,
686,140.3,1.83,,,,,,,,,,,
687,140.4,1.83,,,,,,,,,,,
688,140.6,1.83,,,,,,,,,,,
689,140.7,1.83,,,,,,,,,,,
690,140.8,1.83,,,,,,,,,,,
691,140.9,1.83,,,,,,,,,,,
692,141,1.83,,,,,,,,,,,
693,141.1,1.83,,,,,,,,,,,
694,141.2,1.83,,,,,,,,,,,
695,141.3,1.83,,,,,,,,,,,
696,141.4,1.83,,,,,,,,,,,
697,141.5,1.83,,,,,,,,,,,
698,141.6,1.84,,,,,,,,,,,
699,141.7,1.84,,,,,,,,,,,
700,141.8,1.84,,,,,,,,,,,
701,141.9,1.84,,,,,,,,,,,
702,142,1.84,,,,,,,,,,,
703,142.1,1.83,,,,,,,,,,,
704,142.2,1.83,,,,,,,,,,,
705,142.3,1.83,,,,,,,,,,,
706,142.5,1.83,,,,,,,,,,,
707,142.6,1.84,,,,,,,,,,,
708,142.7,1.83,,,,,,,,,,,
709,142.7,1.83,,,,,,,,,,,
710,142.8,1.83,,,,,,,,,,,
711,142.9,1.83,,,,,,,,,,,
712,143.1,1.84,,,,,,,,,,,
713,143.2,1.84,,,,,,,,,,,
714,143.3,1.83,,,,,,,,,,,
715,143.4,1.83,,,,,,,,,,,
716,143.5,1.83,,,,,,,,,,,
717,143.6,1.83,,,,,,,,,,,
718,143.7,1.83,,,,,,,,,,,
719,143.8,1.83,,,,,,,,,,,
720,143.9,1.83,,,,,,,,,,,
721,144,1.83,,,,,,,,,,,
722,144.1,1.83,,,,,,,,,,,
723,144.2,1.83,,,,,,,,,,,
724,144.3,1.83,,,,,,,,,,,
725,144.4,1.82,,,,,,,,,,,
726,144.5,1.82,,,,,,,,,,,
727,144.6,1.82,,,,,,,,,,,
728,144.7,1.82,,,,,,,,,,,
729,144.8,1.82,,,,,,,,,,,
730,144.9,1.82,,,,,,,,,,,
731,145,1.82,,,,,,,,,,,
732,145.1,1.82,,,,,,,,,,,
733,145.2,1.82,,,,,,,,,,,
734,145.3,1.83,,,,,,,,,,,
735,145.4,1.83,,,,,,,,,,,
736,145.5,1.83,,,,,,,,,,,
737,145.6,1.83,,,,,,,,,,,
738,145.7,1.83,,,,,,,,,,,
739,145.8,1.83,,,,,,,,,,,
740,145.9,1.82,,,,,,,,,,,
741,146,1.82,,,,,,,,,,,
742,146.1,1.82,,,,,,,,,,,
743,146.2,1.82,,,,,,,,,,,
744,146.3,1.83,,,,,,,,,,,
745,146.4,1.83,,,,,,,,,,,
746,146.5,1.83,,,,,,,,,,,
747,146.5,1.83,,,,,,,,,,,
748,146.7,1.82,,,,,,,,,,,
749,146.8,1.82,,,,,,,,,,,
750,146.8,1.82,,,,,,,,,,,
751,146.9,1.82,,,,,,,,,,,
752,147,1.83,,,,,,,,,,,
753,147.1,1.83,,,,,,,,,,,
754,147.2,1.83,,,,,,,,,,,
755,147.3,1.82,,,,,,,,,,,
756,147.4,1.82,,,,,,,,,,,
757,147.5,1.82,,,,,,,,,,,
758,147.6,1.83,,,,,,,,,,,
759,147.7,1.83,,,,,,,,,,,
760,147.8,1.83,,,,,,,,,,,
761,147.9,1.83,,,,,,,,,,,
762,148,1.82,,,,,,,,,,,
763,148.1,1.82,,,,,,,,,,,
764,148.2,1.82,,,,,,,,,,,
765,148.3,1.83,,,,,,,,,,,
766,148.4,1.83,,,,,,,,,,,
767,148.5,1.83,,,,,,,,,,,
768,148.6,1.83,,,,,,,,,,,
769,148.7,1.82,,,,,,,,,,,
770,148.8,1.82,,,,,,,,,,,
771,148.8,1.82,,,,,,,,,,,
772,148.9,1.83,,,,,,,,,,,
773,149.1,1.83,,,,,,,,,,,
774,149.1,1.83,,,,,,,,,,,
775,149.2,1.83,,,,,,,,,,,
776,149.3,1.82,,,,,,,,,,,
777,149.4,1.82,,,,,,,,,,,
778,149.5,1.82,,,,,,,,,,,
779,149.6,1.82,,,,,,,,,,,
780,149.7,1.83,,,,,,,,,,,
781,149.8,1.83,,,,,,,,,,,
782,149.9,1.83,,,,,,,,,,,
783,150,1.82,,,,,,,,,,,
784,150,1.82,,,,,,,,,,,
785,150.2,1.82,,,,,,,,,,,
786,150.2,1.82,,,,,,,,,,,
787,150.3,1.83,,,,,,,,,,,
788,150.4,1.83,,,,,,,,,,,
789,150.5,1.83,,,,,,,,,,,
790,150.6,1.82,,,,,,,,,,,
791,150.7,1.82,,,,,,,,,,,
792,150.8,1.82,,,,,,,,,,,
793,150.9,1.82,,,,,,,,,,,
794,151,1.83,,,,,,,,,,,
795,151.1,1.83,,,,,,,,,,,
796,151.1,1.83,,,,,,,,,,,
797,151.3,1.82,,,,,,,,,,,
798,151.3,1.82,,,,,,,,,,,
799,151.4,1.82,,,,,,,,,,,
800,151.5,1.82,,,,,,,,,,,
801,151.6,1.83,,,,,,,,,,,
802,151.7,1.83,,,,,,,,,,,
803,151.8,1.83,,,,,,,,,,,
804,151.9,1.83,,,,,,,,,,,
805,152,1.82,,,,,,,,,,,
806,152,1.82,,,,,,,,,,,
807,152.1,1.82,,,,,,,,,,,
808,152.2,1.82,,,,,,,,,,,
809,152.3,1.82,,,,,,,,,,,
810,152.4,1.83,,,,,,,,,,,
811,152.5,1.83,,,,,,,,,,,
812,152.6,1.83,,,,,,,,,,,
813,152.7,1.83,,,,,,,,,,,
814,152.8,1.82,,,,,,,,,,,
815,152.9,1.82,,,,,,,,,,,
816,152.9,1.82,,,,,,,,,,,
817,153,1.83,,,,,,,,,,,
818,153.1,1.83,,,,,,,,,,,
819,153.2,1.83,,,,,,,,,,,
820,153.3,1.82,,,,,,,,,,,
821,153.4,1.82,,,,,,,,,,,
822,153.5,1.82,,,,,,,,,,,
823,153.6,1.82,,,,,,,,,,,
824,153.6,1.83,,,,,,,,,,,
825,153.7,1.83,,,,,,,,,,,
826,153.8,1.82,,,,,,,,,,,
827,153.9,1.82,,,,,,,,,,,
828,154,1.82,,,,,,,,,,,
829,154.1,1.82,,,,,,,,,,,
830,154.2,1.83,,,,,,,,,,,
831,154.3,1.83,,,,,,,,,,,
832,154.3,1.83,,,,,,,,,,,
833,154.4,1.82,,,,,,,,,,,
834,154.5,1.82,,,,,,,,,,,
835,154.6,1.82,,,,,,,,,,,
836,154.7,1.82,,,,,,,,,,,
837,154.8,1.82,,,,,,,,,,,
838,154.8,1.83,,,,,,,,,,,
839,155,1.83,,,,,,,,,,,
840,155,1.82,,,,,,,,,,,
841,155.1,1.82,,,,,,,,,,,
842,155.2,1.82,,,,,,,,,,,
843,155.3,1.84,,,,,,,,,,,
844,155.3,1.83,,,,,,,,,,,
845,155.5,1.83,,,,,,,,,,,
846,155.5,1.83,,,,,,,,,,,
847,155.6,1.82,,,,,,,,,,,
848,155.7,1.82,,,,,,,,,,,
849,155.8,1.82,,,,,,,,,,,
850,155.8,1.82,,,,,,,,,,,
851,156,1.83,,,,,,,,,,,
852,156,1.83,,,,,,,,,,,
853,156.1,1.82,,,,,,,,,,,
854,156.2,1.82,,,,,,,,,,,
855,156.3,1.82,,,,,,,,,,,
856,156.4,1.82,,,,,,,,,,,
857,156.5,1.83,,,,,,,,,,,
858,156.6,1.83,,,,,,,,,,,
859,156.6,1.82,,,,,,,,,,,
860,156.7,1.82,,,,,,,,,,,
861,156.8,1.82,,,,,,,,,,,
862,156.9,1.83,,,,,,,,,,,
863,157,1.83,,,,,,,,,,,
864,157.1,1.83,,,,,,,,,,,
865,157.1,1.82,,,,,,,,,,,
866,157.2,1.82,,,,,,,,,,,
867,157.3,1.82,,,,,,,,,,,
868,157.4,1.82,,,,,,,,,,,
869,157.5,1.82,,,,,,,,,,,
870,157.5,1.83,,,,,,,,,,,
871,157.6,1.83,,,,,,,,,,,
872,157.7,1.82,,,,,,,,,,,
873,157.8,1.82,,,,,,,,,,,
874,157.9,1.82,,,,,,,,,,,
875,158,1.82,,,,,,,,,,,
876,158,1.83,,,,,,,,,,,
877,158.1,1.83,,,,,,,,,,,
878,158.2,1.83,,,,,,,,,,,
879,158.3,1.82,,,,,,,,,,,
880,158.3,1.82,,,,,,,,,,,
881,158.4,1.82,,,,,,,,,,,
882,158.5,1.82,,,,,,,,,,,
883,158.6,1.83,,,,,,,,,,,
884,158.7,1.83,,,,,,,,,,,
885,158.7,1.83,,,,,,,,,,,
886,158.8,1.82,,,,,,,,,,,
887,158.9,1.82,,,,,,,,,,,
888,159,1.82,,,,,,,,,,,
889,159.1,1.82,,,,,,,,,,,
890,159.2,1.83,,,,,,,,,,,
891,159.2,1.83,,,,,,,,,,,
892,159.3,1.82,,,,,,,,,,,
893,159.4,1.82,,,,,,,,,,,
894,159.5,1.82,,,,,,,,,,,
895,159.6,1.82,,,,,,,,,,,
896,159.6,1.83,,,,,,,,,,,
897,159.7,1.83,,,,,,,,,,,
898,159.8,1.82,,,,,,,,,,,
899,159.9,1.82,,,,,,,,,,,
900,159.9,1.82,,,,,,,,,,,
901,160,1.82,,,,,,,,,,,
902,160.1,1.82,,,,,,,,,,,
903,160.2,1.83,,,,,,,,,,,
904,160.3,1.83,,,,,,,,,,,
905,160.3,1.83,,,,,,,,,,,
906,160.4,1.82,,,,,,,,,,,
907,160.5,1.82,,,,,,,,,,,
908,160.6,1.82,,,,,,,,,,,
909,160.7,1.83,,,,,,,,,,,
910,160.7,1.83,,,,,,,,,,,
911,160.8,1.83,,,,,,,,,,,
912,160.9,1.82,,,,,,,,,,,
913,161,1.82,,,,,,,,,,,
914,161,1.82,,,,,,,,,,,
915,161.1,1.82,,,,,,,,,,,
916,161.2,1.83,,,,,,,,,,,
917,161.3,1.83,,,,,,,,,,,
918,161.4,1.82,,,,,,,,,,,
919,161.4,1.82,,,,,,,,,,,
920,161.5,1.82,,,,,,,,,,,
921,161.6,1.82,,,,,,,,,,,
922,161.7,1.83,,,,,,,,,,,
923,161.7,1.83,,,,,,,,,,,
924,161.8,1.82,,,,,,,,,,,
925,161.9,1.82,,,,,,,,,,,
926,162,1.82,,,,,,,,,,,
927,162,1.83,,,,,,,,,,,
928,162.1,1.83,,,,,,,,,,,
929,162.2,1.82,,,,,,,,,,,
930,162.3,1.82,,,,,,,,,,,
931,162.3,1.82,,,,,,,,,,,
932,162.4,1.82,,,,,,,,,,,
933,162.5,1.82,,,,,,,,,,,
934,162.6,1.83,,,,,,,,,,,
935,162.6,1.83,,,,,,,,,,,
936,162.7,1.82,,,,,,,,,,,
937,162.8,1.82,,,,,,,,,,,
938,162.9,1.82,,,,,,,,,,,
939,163,1.82,,,,,,,,,,,
940,163,1.83,,,,,,,,,,,
941,163.1,1.83,,,,,,,,,,,
942,163.2,1.83,,,,,,,,,,,
943,163.3,1.82,,,,,,,,,,,
944,163.3,1.82,,,,,,,,,,,
945,163.4,1.82,,,,,,,,,,,
946,163.5,1.83,,,,,,,,,,,
947,163.5,1.83,,,,,,,,,,,
948,163.6,1.83,,,,,,,,,,,
949,163.7,1.82,,,,,,,,,,,
950,163.8,1.82,,,,,,,,,,,
951,163.8,1.82,,,,,,,,,,,
952,163.9,1.82,,,,,,,,,,,
953,164,1.83,,,,,,,,,,,
954,164.1,1.83,,,,,,,,,,,
955,164.2,1.82,,,,,,,,,,,
956,164.2,1.82,,,,,,,,,,,
957,164.3,1.82,,,,,,,,,,,
958,164.4,1.82,,,,,,,,,,,
959,164.4,1.83,,,,,,,,,,,
960,164.5,1.83,,,,,,,,,,,
961,164.6,1.82,,,,,,,,,,,
962,164.7,1.82,,,,,,,,,,,
963,164.7,1.82,,,,,,,,,,,
964,164.8,1.83,,,,,,,,,,,
965,164.9,1.83,,,,,,,,,,,
966,164.9,1.82,,,,,,,,,,,
967,165,1.82,,,,,,,,,,,
968,165.1,1.82,,,,,,,,,,,
969,165.1,1.82,,,,,,,,,,,
970,165.2,1.83,,,,,,,,,,,
971,165.2,1.83,,,,,,,,,,,
972,165.2,1.82,,,,,,,,,,,
973,165.3,1.82,,,,,,,,,,,
974,165.3,1.82,,,,,,,,,,,
975,165.3,1.83,,,,,,,,,,,
976,165.4,1.83,,,,,,,,,,,
977,165.4,1.82,,,,,,,,,,,
978,165.4,1.82,,,,,,,,,,,
979,165.4,1.82,,,,,,,,,,,
980,165.4,1.82,,,,,,,,,,,
981,165.4,1.83,,,,,,,,,,,
982,165.4,1.83,,,,,,,,,,,
983,165.4,1.82,,,,,,,,,,,
984,165.4,1.82,,,,,,,,,,,
985,165.4,1.82,,,,,,,,,,,
986,165.4,1.83,,,,,,,,,,,
987,165.4,1.83,,,,,,,,,,,
988,165.3,1.82,,,,,,,,,,,
989,165.3,1.82,,,,,,,,,,,
990,165.3,1.82,,,,,,,,,,,
991,165.2,1.83,,,,,,,,,,,
992,165.2,1.83,,,,,,,,,,,
993,165.2,1.82,,,,,,,,,,,
994,165.1,1.82,,,,,,,,,,,
995,165.1,1.82,,,,,,,,,,,
996,165,1.82,,,,,,,,,,,
997,165,1.83,,,,,,,,,,,
998,164.9,1.83,,,,,,,,,,,
999,164.8,1.83,,,,,,,,,,,
1000,164.8,1.82,,,,,,,,,,,
1001,164.7,1.82,,,,,,,,,,,
1002,164.6,1.82,,,,,,,,,,,
1003,164.6,1.82,,,,,,,,,,,
1004,164.5,1.82,,,,,,,,,,,
1005,164.4,1.83,,,,,,,,,,,
1006,164.3,1.83,,,,,,,,,,,
1007,164.3,1.83,,,,,,,,,,,
1008,164.2,1.82,,,,,,,,,,,
1009,164.1,1.82,,,,,,,,,,,
1010,164,1.82,,,,,,,,,,,
1011,163.9,1.83,,,,,,,,,,,
1012,163.8,1.83,,,,,,,,,,,
1013,163.7,1.83,,,,,,,,,,,
1014,163.6,1.82,,,,,,,,,,,
1015,163.5,1.82,,,,,,,,,,,
1016,163.5,1.82,,,,,,,,,,,
1017,163.4,1.82,,,,,,,,,,,
1018,163.3,1.83,,,,,,,,,,,
1019,163.2,1.83,,,,,,,,,,,
1020,163,1.82,,,,,,,,,,,
1021,162.9,1.82,,,,,,,,,,,
1022,162.8,1.82,,,,,,,,,,,
1023,162.7,1.82,,,,,,,,,,,
1024,162.6,1.83,,,,,,,,,,,
1025,162.5,1.83,,,,,,,,,,,
1026,162.4,1.83,,,,,,,,,,,
1027,162.3,1.82,,,,,,,,,,,
1028,162.2,1.82,,,,,,,,,,,
1029,162.1,1.82,,,,,,,,,,,
1030,161.9,1.83,,,,,,,,,,,
1031,161.8,1.83,,,,,,,,,,,
1032,161.7,1.83,,,,,,,,,,,
1033,161.6,1.82,,,,,,,,,,,
1034,161.5,1.82,,,,,,,,,,,
1035,161.3,1.82,,,,,,,,,,,
1036,161.2,1.83,,,,,,,,,,,
1037,161.1,1.83,,,,,,,,,,,
1038,161,1.83,,,,,,,,,,,
1039,160.8,1.82,,,,,,,,,,,
1040,160.7,1.82,,,,,,,,,,,
1041,160.6,1.82,,,,,,,,,,,
1042,160.5,1.83,,,,,,,,,,,
1043,160.4,1.83,,,,,,,,,,,
1044,160.2,1.83,,,,,,,,,,,
1045,160.1,1.83,,,,,,,,,,,
1046,159.9,1.82,,,,,,,,,,,
1047,159.8,1.82,,,,,,,,,,,
1048,159.7,1.82,,,,,,,,,,,
1049,159.6,1.83,,,,,,,,,,,
1050,159.4,1.83,,,,,,,,,,,
1051,159.3,1.82,,,,,,,,,,,
1052,159.2,1.82,,,,,,,,,,,
1053,159,1.82,,,,,,,,,,,
1054,158.9,1.82,,,,,,,,,,,
1055,158.8,1.83,,,,,,,,,,,
1056,158.6,1.83,,,,,,,,,,,
1057,158.5,1.82,,,,,,,,,,,
1058,158.4,1.82,,,,,,,,,,,
1059,158.2,1.82,,,,,,,,,,,
1060,158.1,1.83,,,,,,,,,,,
1061,158,1.83,,,,,,,,,,,
1062,157.8,1.83,,,,,,,,,,,
1063,157.7,1.82,,,,,,,,,,,
1064,157.5,1.82,,,,,,,,,,,
1065,157.4,1.82,,,,,,,,,,,
1066,157.3,1.82,,,,,,,,,,,
1067,157.1,1.82,,,,,,,,,,,
1068,157,1.83,,,,,,,,,,,
1069,156.8,1.83,,,,,,,,,,,
1070,156.7,1.83,,,,,,,,,,,
1071,156.6,1.82,,,,,,,,,,,
1072,156.4,1.82,,,,,,,,,,,
1073,156.3,1.82,,,,,,,,,,,
1074,156.2,1.83,,,,,,,,,,,
1075,156,1.83,,,,,,,,,,,
1076,155.9,1.83,,,,,,,,,,,
1077,155.7,1.82,,,,,,,,,,,
1078,155.6,1.82,,,,,,,,,,,
1079,155.5,1.82,,,,,,,,,,,
1080,155.3,1.82,,,,,,,,,,,
1081,155.2,1.83,,,,,,,,,,,
1082,155,1.83,,,,,,,,,,,
1083,154.9,1.83,,,,,,,,,,,
1084,154.7,1.82,,,,,,,,,,,
1085,154.6,1.82,,,,,,,,,,,
1086,154.5,1.83,,,,,,,,,,,
1087,154.3,1.83,,,,,,,,,,,
1088,154.2,1.84,,,,,,,,,,,
1089,154,1.83,,,,,,,,,,,
1090,153.9,1.82,,,,,,,,,,,
1091,153.8,1.82,,,,,,,,,,,
1092,153.6,1.82,,,,,,,,,,,
1093,153.4,1.83,,,,,,,,,,,
1094,153.3,1.83,,,,,,,,,,,
1095,153.2,1.83,,,,,,,,,,,
1096,153,1.83,,,,,,,,,,,
1097,152.9,1.82,,,,,,,,,,,
1098,152.8,1.82,,,,,,,,,,,
1099,152.6,1.82,,,,,,,,,,,
1100,152.4,1.83,,,,,,,,,,,
1101,152.3,1.83,,,,,,,,,,,
1102,152.2,1.83,,,,,,,,,,,
1103,152,1.82,,,,,,,,,,,
1104,151.9,1.82,,,,,,,,,,,
1105,151.7,1.82,,,,,,,,,,,
1106,151.6,1.83,,,,,,,,,,,
1107,151.5,1.83,,,,,,,,,,,
1108,151.3,1.83,,,,,,,,,,,
1109,151.2,1.82,,,,,,,,,,,
1110,151,1.82,,,,,,,,,,,
1111,150.9,1.82,,,,,,,,,,,
1112,150.7,1.83,,,,,,,,,,,
1113,150.6,1.84,,,,,,,,,,,
1114,150.5,1.82,,,,,,,,,,,
1115,150.3,1.82,,,,,,,,,,,
1116,150.2,1.83,,,,,,,,,,,
1117,150,1.83,,,,,,,,,,,
1118,149.9,1.83,,,,,,,,,,,
1119,149.7,1.83,,,,,,,,,,,
1120,149.6,1.82,,,,,,,,,,,
1121,149.5,1.82,,,,,,,,,,,
1122,149.3,1.83,,,,,,,,,,,
1123,149.2,1.84,,,,,,,,,,,
1124,149,1.83,,,,,,,,,,,
1125,148.9,1.82,,,,,,,,,,,
1126,148.8,1.82,,,,,,,,,,,
1127,148.6,1.83,,,,,,,,,,,
1128,148.5,1.84,,,,,,,,,,,
1129,148.3,1.84,,,,,,,,,,,
1130,148.2,1.84,,,,,,,,,,,
1131,148,1.83,,,,,,,,,,,
1132,147.9,1.83,,,,,,,,,,,
1133,147.8,1.83,,,,,,,,,,,
1134,147.6,1.84,,,,,,,,,,,
1135,147.5,1.84,,,,,,,,,,,
1136,147.3,1.84,,,,,,,,,,,
1137,147.2,1.84,,,,,,,,,,,
1138,147.1,1.83,,,,,,,,,,,
1139,146.9,1.83,,,,,,,,,,,
1140,146.8,1.84,,,,,,,,,,,
1141,146.6,1.84,,,,,,,,,,,
1142,146.5,1.84,,,,,,,,,,,
1143,146.3,1.84,,,,,,,,,,,
1144,146.2,1.83,,,,,,,,,,,
1145,146.1,1.83,,,,,,,,,,,
1146,145.9,1.84,,,,,,,,,,,
1147,145.8,1.84,,,,,,,,,,,
1148,145.6,1.85,,,,,,,,,,,
1149,145.5,1.84,,,,,,,,,,,
1150,145.4,1.84,,,,,,,,,,,
1151,145.2,1.84,,,,,,,,,,,
1152,145.1,1.84,,,,,,,,,,,
1153,144.9,1.85,,,,,,,,,,,
1154,144.8,1.85,,,,,,,,,,,
1155,144.7,1.85,,,,,,,,,,,
1156,144.5,1.85,,,,,,,,,,,
1157,144.4,1.84,,,,,,,,,,,
1158,144.3,1.85,,,,,,,,,,,
1159,144.1,1.86,,,,,,,,,,,
1160,144,1.86,,,,,,,,,,,
1161,143.9,1.85,,,,,,,,,,,
1162,143.7,1.85,,,,,,,,,,,
1163,143.6,1.85,,,,,,,,,,,
1164,143.5,1.86,,,,,,,,,,,
1165,143.3,1.87,,,,,,,,,,,
1166,143.2,1.86,,,,,,,,,,,
1167,143,1.86,,,,,,,,,,,
1168,142.9,1.86,,,,,,,,,,,
1169,142.8,1.86,,,,,,,,,,,
1170,142.6,1.87,,,,,,,,,,,
1171,142.5,1.87,,,,,,,,,,,
1172,142.3,1.87,,,,,,,,,,,
1173,142.2,1.86,,,,,,,,,,,
1174,142.1,1.87,,,,,,,,,,,
1175,141.9,1.88,,,,,,,,,,,
1176,141.8,1.88,,,,,,,,,,,
1177,141.7,1.88,,,,,,,,,,,
1178,141.5,1.88,,,,,,,,,,,
1179,141.4,1.87,,,,,,,,,,,
1180,141.3,1.88,,,,,,,,,,,
1181,141.1,1.89,,,,,,,,,,,
1182,141,1.89,,,,,,,,,,,
1183,140.8,1.89,,,,,,,,,,,
1184,140.7,1.88,,,,,,,,,,,
1185,140.6,1.89,,,,,,,,,,,
1186,140.5,1.9,,,,,,,,,,,
1187,140.3,1.9,,,,,,,,,,,
1188,140.2,1.9,,,,,,,,,,,
1189,140,1.89,,,,,,,,,,,
1190,139.9,1.9,,,,,,,,,,,
1191,139.8,1.91,,,,,,,,,,,
1192,139.7,1.91,,,,,,,,,,,
1193,139.5,1.91,,,,,,,,,,,
1194,139.4,1.91,,,,,,,,,,,
1195,139.3,1.91,,,,,,,,,,,
1196,139.1,1.92,,,,,,,,,,,
1197,139,1.93,,,,,,,,,,,
1198,138.9,1.93,,,,,,,,,,,
1199,138.7,1.93,,,,,,,,,,,
1200,138.6,1.92,,,,,,,,,,,
1201,138.5,1.92,,,,,,,,,,,
1202,138.3,1.93,,,,,,,,,,,
1203,138.2,1.94,,,,,,,,,,,
1204,138.1,1.94,,,,,,,,,,,
1205,138,1.94,,,,,,,,,,,
1206,137.8,1.94,,,,,,,,,,,
1207,137.7,1.95,,,,,,,,,,,
1208,137.6,1.96,,,,,,,,,,,
1209,137.4,1.96,,,,,,,,,,,
1210,137.3,1.96,,,,,,,,,,,
1211,137.2,1.96,,,,,,,,,,,
1212,137.1,1.95,,,,,,,,,,,
1213,136.9,1.97,,,,,,,,,,,
1214,136.8,1.97,,,,,,,,,,,
1215,136.7,1.98,,,,,,,,,,,
1216,136.5,1.97,,,,,,,,,,,
1217,136.4,1.97,,,,,,,,,,,
1218,136.3,1.98,,,,,,,,,,,
1219,136.2,1.99,,,,,,,,,,,
1220,136,1.99,,,,,,,,,,,
1221,135.9,1.99,,,,,,,,,,,
1222,135.8,1.99,,,,,,,,,,,
1223,135.7,2,,,,,,,,,,,
1224,135.5,2.01,,,,,,,,,,,
1225,135.4,2.01,,,,,,,,,,,
1226,135.3,2.01,,,,,,,,,,,
1227,135.2,2.01,,,,,,,,,,,
1228,135,2.01,,,,,,,,,,,
1229,134.9,2.02,,,,,,,,,,,
1230,134.8,2.03,,,,,,,,,,,
1231,134.7,2.03,,,,,,,,,,,
1232,134.5,2.03,,,,,,,,,,,
1233,134.4,2.03,,,,,,,,,,,
1234,134.3,2.04,,,,,,,,,,,
1235,134.2,2.05,,,,,,,,,,,
1236,134,2.05,,,,,,,,,,,
1237,133.9,2.04,,,,,,,,,,,
1238,133.8,2.05,,,,,,,,,,,
1239,133.7,2.05,,,,,,,,,,,
1240,133.5,2.06,,,,,,,,,,,
1241,133.4,2.06,,,,,,,,,,,
1242,133.3,2.06,,,,,,,,,,,
1243,133.2,2.06,,,,,,,,,,,
1244,133,2.07,,,,,,,,,,,
1245,132.9,2.08,,,,,,,,,,,
1246,132.8,2.08,,,,,,,,,,,
1247,132.7,2.08,,,,,,,,,,,
1248,132.6,2.07,,,,,,,,,,,
1249,132.5,2.08,,,,,,,,,,,
1250,132.3,2.09,,,,,,,,,,,
1251,132.2,2.09,,,,,,,,,,,
1252,132.1,2.08,,,,,,,,,,,
1253,132,2.09,,,,,,,,,,,
1254,131.8,2.1,,,,,,,,,,,
1255,131.7,2.1,,,,,,,,,,,
1256,131.6,2.1,,,,,,,,,,,
1257,131.5,2.1,,,,,,,,,,,
1258,131.4,2.1,,,,,,,,,,,
1259,131.2,2.1,,,,,,,,,,,
1260,131.1,2.11,,,,,,,,,,,
1261,131,2.12,,,,,,,,,,,
1262,130.9,2.12,,,,,,,,,,,
1263,130.8,2.11,,,,,,,,,,,
1264,130.7,2.11,,,,,,,,,,,
1265,130.5,2.1,,,,,,,,,,,
1266,130.4,2.11,,,,,,,,,,,
1267,130.3,2.11,,,,,,,,,,,
1268,130.2,2.12,,,,,,,,,,,
1269,130.1,2.12,,,,,,,,,,,
1270,130,2.12,,,,,,,,,,,
1271,129.8,2.11,,,,,,,,,,,
1272,129.7,2.11,,,,,,,,,,,
1273,129.6,2.11,,,,,,,,,,,
1274,129.5,2.12,,,,,,,,,,,
1275,129.4,2.13,,,,,,,,,,,
1276,129.3,2.12,,,,,,,,,,,
1277,129.2,2.12,,,,,,,,,,,
1278,129.1,2.11,,,,,,,,,,,
1279,128.9,2.11,,,,,,,,,,,
1280,128.8,2.11,,,,,,,,,,,
1281,128.7,2.12,,,,,,,,,,,
1282,128.6,2.12,,,,,,,,,,,
1283,128.5,2.12,,,,,,,,,,,
1284,128.4,2.12,,,,,,,,,,,
1285,128.3,2.11,,,,,,,,,,,
1286,128.1,2.11,,,,,,,,,,,
1287,128,2.12,,,,,,,,,,,
1288,127.9,2.12,,,,,,,,,,,
1289,127.8,2.12,,,,,,,,,,,
1290,127.7,2.11,,,,,,,,,,,
1291,127.6,2.11,,,,,,,,,,,
1292,127.5,2.11,,,,,,,,,,,
1293,127.3,2.11,,,,,,,,,,,
1294,127.2,2.12,,,,,,,,,,,
1295,127.1,2.12,,,,,,,,,,,
1296,127,2.12,,,,,,,,,,,
1297,126.9,2.12,,,,,,,,,,,
1298,126.8,2.11,,,,,,,,,,,
1299,126.7,2.11,,,,,,,,,,,
1300,126.6,2.11,,,,,,,,,,,
1301,126.5,2.12,,,,,,,,,,,
1302,126.4,2.12,,,,,,,,,,,
1303,126.3,2.12,,,,,,,,,,,
1304,126.1,2.11,,,,,,,,,,,
1305,126,2.11,,,,,,,,,,,
1306,125.9,2.11,,,,,,,,,,,
1307,125.8,2.11,,,,,,,,,,,
1308,125.7,2.12,,,,,,,,,,,
1309,125.6,2.12,,,,,,,,,,,
1310,125.5,2.12,,,,,,,,,,,
1311,125.4,2.11,,,,,,,,,,,
1312,125.3,2.11,,,,,,,,,,,
1313,125.2,2.11,,,,,,,,,,,
1314,125,2.12,,,,,,,,,,,
1315,124.9,2.12,,,,,,,,,,,
1316,124.8,2.12,,,,,,,,,,,
1317,124.7,2.11,,,,,,,,,,,
