Energy(eV)	Element_n	Element	Line	Relative_intensity
22723.6	45	Rh	Kβ	16
22984.1	48	Cd	Kα	53
23172.8	45	Rh	Kβ	4
23173.6	48	Cd	Kα	100
23791.1	46	Pd	Kβ	8
23818.7	46	Pd	Kβ	16
24002	49	In	Kα	53
24209.7	49	In	Kα	100
24299.1	46	Pd	Kβ	4
24911.5	47	Ag	Kβ	9
24942.4	47	Ag	Kβ	16
25044	50	Sn	Kα	53
25271.3	50	Sn	Kα	100
25456.4	47	Ag	Kβ	4
26061.2	48	Cd	Kβ	9
26095.5	48	Cd	Kβ	17
26110.8	51	Sb	Kα	54
26359.1	51	Sb	Kα	100
26643.8	48	Cd	Kβ	4
27201.7	52	Te	Kα	54
27237.7	49	In	Kβ	9
27275.9	49	In	Kβ	17
27472.3	52	Te	Kα	100
27860.8	49	In	Kβ	5
28317.2	53	I	Kα	54
28444	50	Sn	Kβ	9
28486	50	Sn	Kβ	17
28612	53	I	Kα	100
29109.3	50	Sn	Kβ	5
29458	54	Xe	Kα	54
29679.2	51	Sb	Kβ	9
29725.6	51	Sb	Kβ	18
29779	54	Xe	Kα	100
30389.5	51	Sb	Kβ	5
30625.1	55	Cs	Kα	54
30944.3	52	Te	Kβ	9
30972.8	55	Cs	Kα	100
30995.7	52	Te	Kβ	18
31700.4	52	Te	Kβ	5
31817.1	56	Ba	Kα	54
32193.6	56	Ba	Kα	100
32239.4	53	I	Kβ	9
32294.7	53	I	Kβ	18
33034.1	57	La	Kα	54
33042	53	I	Kβ	5
33441.8	57	La	Kα	100
33562	54	Xe	Kβ	9
33624	54	Xe	Kβ	18
34278.9	58	Ce	Kα	55
34415	54	Xe	Kβ	5
34719.7	58	Ce	Kα	100
34919.4	55	Cs	Kβ	9
34986.9	55	Cs	Kβ	18
35550.2	59	Pr	Kα	55
35822	55	Cs	Kβ	6
36026.3	59	Pr	Kα	100
36304	56	Ba	Kβ	10
36378.2	56	Ba	Kβ	18
36847.4	60	Nd	Kα	55
37257	56	Ba	Kβ	6
37361	60	Nd	Kα	100
37720.2	57	La	Kβ	10
37801	57	La	Kβ	19
38171.2	61	Pm	Kα	55
