Model,DSO-X 2002A
Serial Number,MY58106371
Start Time,5/15/2024 3:31:57 PM

Setup Text Information:

Analog

Channel 1
Scale,1.240000V/
Pos,1.240000V/
coup
BW,Off
Inv,Off
Imp,1M Ohm
Trace Label,1
Probe,1.0
Skew,0.000000s

Channel 2
Scale,500.000000mV/
Pos,500.000000mV/
coup
BW,Off
Inv,Off
Imp,1M Ohm
Trace Label,2
Probe,1.0
Skew,0.000000s

Function

WaveformMemory

Trigger
Sweep Mode,AUTO
Coup,DC
Noise Rej,Off
HF Rej,Off
HoldOff,40.000000ns
TriggerControl,GLIT
Source,CHAN2
Slope,319.000000mV
Adress,USB0::0x0957::0x179B::MY58106371::0::INSTR

Sample Count,Time(s),Channel1,Channel2,
1,-0.041328125,-0.012228012085,0.00304782390594,
2,-0.0412760416675,-0.0153436660767,0.00304782390594,
3,-0.041223958335,-0.00911235809326,0.00304782390594,
4,-0.0411718750025,-0.012228012085,0.00179147720337,
5,-0.04111979167,-0.012228012085,0.00179147720337,
6,-0.0410677083375,-0.0153436660767,0.00430405139923,
7,-0.041015625005,-0.012228012085,0.00430405139923,
8,-0.0409635416725,-0.012228012085,0.00430405139923,
9,-0.04091145834,-0.012228012085,0.00430405139923,
10,-0.0408593750075,-0.012228012085,0.00556039810181,
11,-0.040807291675,-0.012228012085,0.00430405139923,
12,-0.0407552083425,-0.0153436660767,0.00430405139923,
13,-0.04070312501,-0.012228012085,0.00430405139923,
14,-0.0406510416775,-0.012228012085,0.00430405139923,
15,-0.040598958345,-0.0153436660767,0.00304782390594,
16,-0.0405468750125,-0.0153436660767,0.00304782390594,
17,-0.04049479168,-0.0153436660767,0.00179147720337,
18,-0.0404427083475,-0.0153436660767,0.00179147720337,
19,-0.040390625015,-0.012228012085,0.00304782390594,
20,-0.0403385416825,-0.0153436660767,0.00304782390594,
21,-0.04028645835,-0.012228012085,0.00304782390594,
22,-0.0402343750175,-0.0153436660767,0.00179147720337,
23,-0.040182291685,-0.0153436660767,0.000535249710083,
24,-0.0401302083525,-0.012228012085,0.00304782390594,
25,-0.04007812502,-0.0153436660767,0.00304782390594,
26,-0.0400260416875,-0.012228012085,0.00304782390594,
27,-0.039973958355,-0.012228012085,0.00179147720337,
28,-0.0399218750225,-0.012228012085,0.00304782390594,
29,-0.03986979169,-0.012228012085,0.00179147720337,
30,-0.0398177083575,-0.0153436660767,0.00304782390594,
31,-0.039765625025,-0.012228012085,0.00430405139923,
32,-0.0397135416925,-0.0184593200684,0.00179147720337,
33,-0.03966145836,-0.0153436660767,0.00304782390594,
34,-0.0396093750275,-0.0153436660767,0.00179147720337,
35,-0.039557291695,-0.0153436660767,0.00304782390594,
36,-0.0395052083625,-0.0153436660767,0.00179147720337,
37,-0.03945312503,-0.012228012085,0.00304782390594,
38,-0.0394010416975,-0.012228012085,0.00179147720337,
39,-0.039348958365,-0.012228012085,0.00179147720337,
40,-0.0392968750325,-0.0184593200684,0.00304782390594,
41,-0.0392447917,-0.0153436660767,0.00304782390594,
42,-0.0391927083675,-0.012228012085,0.00304782390594,
43,-0.039140625035,-0.0153436660767,0.00304782390594,
44,-0.0390885417025,-0.012228012085,0.00179147720337,
45,-0.03903645837,-0.012228012085,0.00304782390594,
46,-0.0389843750375,-0.012228012085,0.00304782390594,
47,-0.038932291705,-0.0153436660767,0.00179147720337,
48,-0.0388802083725,-0.0153436660767,0.00179147720337,
49,-0.03882812504,-0.0153436660767,0.00304782390594,
50,-0.0387760417075,-0.012228012085,0.00304782390594,
51,-0.038723958375,-0.0184593200684,0.00304782390594,
52,-0.0386718750425,-0.0153436660767,0.00304782390594,
53,-0.03861979171,-0.0153436660767,0.00304782390594,
54,-0.0385677083775,-0.0153436660767,0.000535249710083,
55,-0.038515625045,-0.0153436660767,0.00179147720337,
56,-0.0384635417125,-0.0153436660767,0.00179147720337,
57,-0.03841145838,-0.0184593200684,0.00179147720337,
58,-0.0383593750475,-0.0153436660767,0.00179147720337,
59,-0.038307291715,-0.0153436660767,0.00179147720337,
60,-0.0382552083825,-0.0153436660767,0.00179147720337,
61,-0.03820312505,-0.0153436660767,0.000535249710083,
62,-0.0381510417175,-0.012228012085,0.00179147720337,
63,-0.038098958385,-0.0153436660767,0.00179147720337,
64,-0.0380468750525,-0.0153436660767,0.00304782390594,
65,-0.03799479172,-0.012228012085,0.00304782390594,
66,-0.0379427083875,-0.0184593200684,0.00179147720337,
67,-0.037890625055,-0.0153436660767,0.00304782390594,
68,-0.0378385417225,-0.0153436660767,0.00304782390594,
69,-0.03778645839,-0.0153436660767,0.00304782390594,
70,-0.0377343750575,-0.012228012085,0.00179147720337,
71,-0.037682291725,-0.012228012085,0.00304782390594,
72,-0.0376302083925,-0.0184593200684,0.00179147720337,
73,-0.03757812506,-0.012228012085,0.00179147720337,
74,-0.0375260417275,-0.012228012085,0.000535249710083,
75,-0.037473958395,-0.012228012085,0.00179147720337,
76,-0.0374218750625,-0.0153436660767,0.00179147720337,
77,-0.03736979173,-0.0153436660767,0.00304782390594,
78,-0.0373177083975,-0.0153436660767,0.00304782390594,
79,-0.037265625065,-0.0153436660767,0.00430405139923,
80,-0.0372135417325,-0.012228012085,0.00430405139923,
81,-0.0371614584,-0.0153436660767,0.00430405139923,
82,-0.0371093750675,-0.0153436660767,0.00430405139923,
83,-0.037057291735,-0.0153436660767,0.00430405139923,
84,-0.0370052084025,-0.0153436660767,0.00430405139923,
85,-0.03695312507,-0.0153436660767,0.00179147720337,
86,-0.0369010417375,-0.012228012085,0.00304782390594,
87,-0.036848958405,-0.012228012085,0.00304782390594,
88,-0.0367968750725,-0.012228012085,0.00304782390594,
89,-0.03674479174,-0.0153436660767,0.00304782390594,
90,-0.0366927084075,-0.012228012085,0.00430405139923,
91,-0.036640625075,-0.012228012085,0.00304782390594,
92,-0.0365885417425,-0.012228012085,0.00304782390594,
93,-0.03653645841,-0.0153436660767,0.00304782390594,
94,-0.0364843750775,-0.012228012085,0.00179147720337,
