x-axis,1,2
second,Volt,Volt
+260.80000E-06,,
+260.82000E-06,-2.91425871849E+00,-38.63064013E-03
+260.84000E-06,-2.91425871849E+00,-38.63064013E-03
+260.86000E-06,-2.71325369179E+00,-38.63064013E-03
+260.88000E-06,-2.71325369179E+00,-38.63064013E-03
+260.90000E-06,-2.91425871849E+00,-38.63064013E-03
+260.92000E-06,-2.81375620515E+00,-38.63064013E-03
+260.94000E-06,-2.91425871849E+00,-38.63064013E-03
+260.96000E-06,-2.71325369179E+00,-38.63064013E-03
+260.98000E-06,-2.71325369179E+00,-38.63064013E-03
+261.00000E-06,-2.71325369179E+00,-38.63064013E-03
+261.02000E-06,-2.81375620512E+00,-38.63064013E-03
+261.04000E-06,-2.91425871849E+00,-28.58038898E-03
+261.06000E-06,-2.91425871849E+00,-48.68089128E-03
+261.08000E-06,-2.81375620517E+00,-38.63064013E-03
+261.10000E-06,-2.91425871849E+00,-28.58038898E-03
+261.12000E-06,-2.71325369179E+00,-38.63064013E-03
+261.14000E-06,-2.91425871849E+00,-28.58038899E-03
+261.16000E-06,-2.91425871849E+00,-38.63064013E-03
+261.18000E-06,-2.91425871849E+00,-38.63064013E-03
+261.20000E-06,-2.71325369179E+00,-48.68089129E-03
+261.22000E-06,-2.91425871849E+00,-58.73114243E-03
+261.24000E-06,-2.91425871849E+00,-38.63064013E-03
+261.26000E-06,-2.81375620510E+00,-38.63064013E-03
+261.28000E-06,-2.71325369179E+00,-8.47988669E-03
+261.30000E-06,-2.71325369179E+00,-18.53013784E-03
+261.32000E-06,-2.81375620519E+00,-38.63064013E-03
+261.34000E-06,-2.91425871849E+00,-38.63064013E-03
+261.36000E-06,-2.91425871849E+00,-38.63064013E-03
+261.38000E-06,-2.81375620509E+00,-38.63064013E-03
+261.40000E-06,-2.91425871849E+00,-38.63064013E-03
+261.42000E-06,-2.91425871849E+00,-58.73114243E-03
+261.44000E-06,-2.91425871849E+00,-18.53013784E-03
+261.46000E-06,-2.81375620508E+00,-38.63064013E-03
+261.48000E-06,-2.71325369179E+00,-38.63064013E-03
+261.50000E-06,-2.91425871849E+00,-58.73114243E-03
+261.52000E-06,-2.91425871849E+00,-48.68089128E-03
+261.54000E-06,-2.71325369179E+00,-38.63064013E-03
+261.56000E-06,-2.91425871849E+00,-38.63064013E-03
+261.58000E-06,-2.91425871849E+00,-38.63064013E-03
+261.60000E-06,-2.81375620506E+00,-28.58038898E-03
+261.62000E-06,-2.71325369179E+00,-8.47988668E-03
+261.64000E-06,-2.71325369179E+00,-8.47988670E-03
