Time (s),RMS CH2 (V),Heater Voltage (V),Heater Current (A),Temp Raw (C),Delta T Raw (C/s),DVM CH2 (V)
42.51363826,1.066,35,0.412,55.50476329,0.190621746,1.06
43.00155687,1.066,35,0.412,55.60246299,0.200248255,1.07
43.50079799,1.066,35,0.412,55.69678889,0.195696803,1.07
44.00127482,1.066,35,0.412,55.85940995,0.236205842,1.09
44.5012517,1.066,35,0.412,55.89553153,0.195388061,1.08
45.00086379,1.066,35,0.412,56.04036471,0.229228385,1.06
45.50112963,1.066,35,0.412,56.1414046,0.187896536,1.06
46.00089693,1.066,35,0.412,56.23907143,0.229133241,1.07
46.51321268,1.066,35,0.412,56.34346844,0.197211538,1.07
47.01205778,1.066,35,0.412,56.44112506,0.200276241,1.07
47.50212646,1.066,35,0.412,56.54551121,0.208433224,1.06
48.01195097,1.066,35,0.412,56.64315774,0.195942779,1.06
48.50100279,1.066,35,0.412,56.74416628,0.206550178,1.06
49.01303792,1.066,35,0.412,56.84516968,0.195076759,1.07
49.50047159,1.066,35,0.412,56.95290098,0.21181907,1.07
50.00116539,1.066,35,0.412,57.05726015,0.208440011,1.07
50.51286459,1.066,35,0.412,57.15824774,0.203946682,1.06
51.01196289,1.066,35,0.412,57.30298784,0.233812898,1.06
51.50166392,1.066,35,0.412,57.41406048,0.242869499,1.06
52.01150942,1.066,35,0.412,57.51503039,0.233261945,1.07
52.50188088,1.066,35,0.412,57.61936078,0.215056656,1.07
53.00110149,1.066,35,0.412,57.72032068,0.204492225,1.06
53.51132917,1.066,35,0.412,57.82800586,0.204467847,1.06
54.00143814,1.066,35,0.412,57.9289557,0.210561964,1.06
54.50074625,1.066,35,0.412,58.02990072,0.206672683,1.07
55.00076485,1.066,35,0.412,58.13420553,0.204125526,1.07
55.51228642,1.066,35,0.412,58.24186969,0.203910581,1.06
56.00080109,1.066,35,0.412,58.34952845,0.218094942,1.06
56.49997711,1.066,35,0.412,58.45045368,0.21118011,1.07
57.00021029,1.066,35,0.412,58.60183276,0.239863526,1.07
57.50118351,1.066,35,0.412,58.70947377,0.239497374,1.07
58.00223088,1.066,35,0.412,58.82047306,0.246163939,1.06
58.50050497,1.066,35,0.412,58.92137671,0.213767187,1.06
59.00210881,1.066,35,0.412,59.03236549,0.214572865,1.06
59.49963307,1.066,35,0.412,59.13662269,0.211815217,1.07
60.00129533,1.066,35,0.412,59.24087511,0.21229316,1.07
60.51143408,1.066,35,0.412,59.34512278,0.204360931,1.07
61.01011491,1.066,35,0.412,59.44936572,0.209046888,1.06
61.50008965,1.066,35,0.412,59.55696642,0.215039186,1.06
62.00207162,1.066,35,0.412,59.66119986,0.209886077,1.07
62.50193024,1.066,35,0.412,59.76542867,0.210768234,1.07
63.00097847,1.066,35,0.412,59.87301489,0.211100818,1.07
63.50187659,1.066,35,0.412,60.04110863,0.252818389,1.06
64.00111198,1.066,35,0.412,60.13859761,0.249160312,1.06
64.51104832,1.066,35,0.412,60.25289004,0.248315416,1.07
65.00137711,1.066,35,0.412,60.36045451,0.217096424,1.07
65.51267362,1.066,35,0.412,60.46801426,0.214759047,1.07
66.00132489,1.066,35,0.412,60.57556935,0.220115601,1.06
66.50176287,1.066,35,0.412,60.68311981,0.214921939,1.08
67.01208258,1.065,35,0.412,60.78730492,0.208555963,1.08
67.51073098,1.066,35,0.412,60.89148575,0.211181796,1.07
68.00116372,1.066,35,0.412,61.00238325,0.21699438,1.07
68.50048733,1.066,35,0.412,61.10655533,0.213121916,1.07
69.00169134,1.066,35,0.412,61.22416394,0.221252679,1.06
69.50024223,1.065,35,0.412,61.38208718,0.253871731,1.06
70.01204205,1.066,35,0.412,61.49296382,0.251666423,1.07
70.51160669,1.066,35,0.412,61.60047614,0.251093431,1.07
71.00496006,1.066,35,0.412,61.71470328,0.22473148,1.06
71.50145078,1.066,35,0.412,61.81548793,0.216535846,1.06
72.0009613,1.066,35,0.412,61.91962816,0.212976501,1.08
72.51235771,1.066,35,0.412,62.03048278,0.205828261,1.09
73.00077057,1.066,35,0.412,62.14133298,0.222383613,1.07
73.49972963,1.066,35,0.412,62.25217878,0.222162931,1.07
74.00033927,1.066,35,0.412,62.35966147,0.219185212,1.06
74.50023937,1.066,35,0.412,62.47385738,0.221727235,1.06
75.01311469,1.066,35,0.412,62.63170897,0.246668259,1.07
75.51143837,1.066,35,0.412,62.73917748,0.253861785,1.07
76.00184965,1.066,35,0.412,62.85000027,0.255664928,1.06
76.50105739,1.066,35,0.412,62.90616448,0.183260726,1.06
77.00057578,1.066,35,0.412,63.0749914,0.224091795,1.06
77.50136876,1.066,35,0.412,63.18244392,0.22127816,1.07
78.00088096,1.066,35,0.412,63.29325036,0.258309258,1.07
78.49977994,1.066,35,0.412,63.40741039,0.222101732,1.07
79.00022507,1.066,35,0.412,63.51485129,0.221407806,1.06
79.50196385,1.066,35,0.412,63.62228851,0.218598578,1.06
80.00086403,1.066,35,0.412,63.73307933,0.217591249,1.07
80.50134611,1.066,35,0.412,63.8438663,0.219132059,1.07
81.00140715,1.066,35,0.412,63.95129246,0.219309193,1.07
81.50143266,1.066,35,0.412,64.11578192,0.255122043,1.06
82.01047206,1.066,35,0.412,64.22991264,0.252794016,1.06
82.50124979,1.066,35,0.412,64.34068286,0.264471658,1.07
83.00127196,1.066,35,0.412,64.44473642,0.219293278,1.07
83.50190473,1.066,35,0.412,64.56556883,0.223487963,1.07
84.00169182,1.066,35,0.412,64.66961557,0.219381892,1.06
84.50082755,1.066,35,0.412,64.7803716,0.224144226,1.06
85.00289512,1.066,35,0.412,64.89112414,0.216143091,1.06
85.50268412,1.066,35,0.412,65.00522922,0.223836889,1.07
86.00135136,1.066,35,0.412,65.11261893,0.22209021,1.07
86.50228953,1.066,35,0.412,65.22671704,0.223309591,1.07
87.00009608,1.066,35,0.412,65.33074458,0.217966439,1.06
87.5014441,1.066,35,0.412,65.4405564,0.218037139,1.06
88.00148344,1.066,35,0.412,65.55128898,0.21636427,1.07
88.50181055,1.066,35,0.412,65.66537373,0.222940244,1.07
89.00145912,1.066,35,0.412,65.77274453,0.221614516,1.07
89.50123715,1.066,35,0.412,65.88011237,0.219312958,1.08
90.01026344,1.066,35,0.412,66.05550276,0.255474057,1.08
90.50105,1.066,35,0.412,66.16621796,0.267240024,1.06
91.0009582,1.066,35,0.412,66.21897316,0.22594867,1.07
91.50103927,1.066,35,0.412,66.32968393,0.182757815,1.07
