Address:,USB0::0x0957::0x179B::MY58106374::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY58106374,,-0.42,-0.000959795863309409,-0.00144723599078134,
Firmware Version:,02.65.2021030741,,-0.419125,-0.000959795863309409,-0.000964823993854225,
Start Time:,2023-02-26 13:27:57.358,,-0.41825,-0.000909544614842162,-0.000964823993854225,
,,,-0.417375,-0.000959795863309409,-0.000964823993854225,
,,,-0.4165,-0.000959795863309409,-0.000964823993854225,
,,,-0.415625,-0.000959795863309409,-0.000964823993854225,
,,,-0.41475,-0.000959795863309409,-0.000964823993854225,
,,,-0.413875,-0.00101004711177666,-0.000964823993854225,
,,,-0.413,-0.00101004711177666,-0.000964823993854225,
,,,-0.412125,-0.00101004711177666,-0.000964823993854225,
,,,-0.41125,-0.000959795863309409,-0.000964823993854225,
,,,-0.410375,-0.000959795863309409,-0.000964823993854225,
,,,-0.4095,-0.00101004711177666,-0.000964823993854225,
,,,-0.408625,-0.00101004711177666,-0.00144723599078134,
,,,-0.40775,-0.00101004711177666,-0.000964823993854225,
,,,-0.406875,-0.00106029836024391,-0.000964823993854225,
,,,-0.406,-0.00101004711177666,-0.000964823993854225,
,,,-0.405125,-0.00101004711177666,-0.000964823993854225,
,,,-0.40425,-0.00106029836024391,-0.000964823993854225,
,,,-0.403375,-0.00106029836024391,-0.00144723599078134,
,,,-0.4025,-0.00106029836024391,-0.000964823993854225,
,,,-0.401625,-0.00101004711177666,-0.000964823993854225,
,,,-0.40075,-0.00101004711177666,-0.000964823993854225,
,,,-0.399875,-0.00106029836024391,-0.00144723599078134,
,,,-0.399,-0.00101004711177666,-0.000964823993854225,
,,,-0.398125,-0.00106029836024391,-0.000964823993854225,
,,,-0.39725,-0.00106029836024391,-0.000964823993854225,
,,,-0.396375,-0.00106029836024391,-0.000964823993854225,
,,,-0.3955,-0.00106029836024391,-0.000964823993854225,
,,,-0.394625,-0.00106029836024391,-0.000964823993854225,
,,,-0.39375,-0.00111054960871115,-0.000964823993854225,
,,,-0.392875,-0.00106029836024391,-0.000964823993854225,
,,,-0.392,-0.00106029836024391,-0.000964823993854225,
,,,-0.391125,-0.00106029836024391,-0.00144723599078134,
,,,-0.39025,-0.00106029836024391,-0.000964823993854225,
,,,-0.389375,-0.00106029836024391,-0.000964823993854225,
,,,-0.3885,-0.00111054960871115,-0.000964823993854225,
,,,-0.387625,-0.00106029836024391,-0.000964823993854225,
,,,-0.38675,-0.00111054960871115,-0.00144723599078134,
,,,-0.385875,-0.00111054960871115,-0.000964823993854225,
,,,-0.385,-0.00106029836024391,-0.000964823993854225,
,,,-0.384125,-0.00111054960871115,-0.000964823993854225,
,,,-0.38325,-0.0011608008571784,-0.00144723599078134,
,,,-0.382375,-0.00111054960871115,-0.000964823993854225,
,,,-0.3815,-0.00111054960871115,-0.000964823993854225,
,,,-0.380625,-0.00111054960871115,-0.00144723599078134,
,,,-0.37975,-0.00111054960871115,-0.00144723599078134,
,,,-0.378875,-0.0011608008571784,-0.00144723599078134,
,,,-0.378,-0.0011608008571784,-0.00144723599078134,
,,,-0.377125,-0.0011608008571784,-0.00144723599078134,
,,,-0.37625,-0.0011608008571784,-0.00144723599078134,
,,,-0.375375,-0.0011608008571784,-0.00144723599078134,
