Address:,USB0::0x0957::0x179B::MY54313431::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313431,,-0.303125,-0.00357412121957168,-0.0238693464780226,
Firmware Version:,02.65.2021030741,,-0.30208333334,-0.00357412121957168,-0.0238693464780226,
Start Time:,2023-06-05 08:14:32.279,,-0.30104166668,-0.00357412121957168,-0.0238693464780226,
,,,-0.30000000002,-0.00357412121957168,-0.0238693464780226,
Analog Sample Count:,960,,-0.29895833336,-0.00357412121957168,-0.0238693464780226,
Function Sample Count:,0,,-0.2979166667,-0.00357412121957168,-0.0238693464780226,
Waveform Memory Sample Count:,0,,-0.29687500004,-0.00357412121957168,-0.0238693464780226,
Digital Sample Count:,0,,-0.29583333338,-0.00357412121957168,-0.0238693464780226,
,,,-0.29479166672,-0.00357412121957168,-0.0238693464780226,
Setup Text Information:,,,-0.29375000006,-0.00357412121957168,-0.0238693464780226,
ANALOG,,,-0.2927083334,-0.00357412121957168,-0.0226130650844425,
Channel 1,,,-0.29166666674,-0.00357412121957168,-0.0251256278716028,
Scale,50 mV/,,-0.29062500008,-0.00357412121957168,-0.0238693464780226,
Pos,36.25 mV,,-0.28958333342,-0.00357412121957168,-0.0238693464780226,
Coup,,,-0.28854166676,-0.00357412121957168,-0.0226130650844425,
BW,Off,,-0.2875000001,-0.00357412121957168,-0.0238693464780226,
Inv,Off,,-0.28645833344,-0.00357412121957168,-0.0238693464780226,
Imp,1M Ohm,,-0.28541666678,-0.00357412121957168,-0.0251256278716028,
Trace Label,1,,-0.28437500012,-0.00357412121957168,-0.0238693464780226,
Probe,1,,-0.28333333346,-0.00357412121957168,-0.0238693464780226,
Skew,0 s,,-0.2822916668,-0.00357412121957168,-0.0238693464780226,
,,,-0.28125000014,-0.00357412121957168,-0.0238693464780226,
Channel 2,,,-0.28020833348,-0.00357412121957168,-0.0251256278716028,
Scale,500 mV/,,-0.27916666682,-0.00357412121957168,-0.0251256278716028,
Pos,0 V,,-0.27812500016,-0.00357412121957168,-0.0238693464780226,
Coup,,,-0.2770833335,-0.00357412121957168,-0.0238693464780226,
BW,Off,,-0.27604166684,-0.00357412121957168,-0.0251256278716028,
Inv,Off,,-0.27500000018,-0.00357412121957168,-0.0238693464780226,
Imp,1M Ohm,,-0.27395833352,-0.00357412121957168,-0.0238693464780226,
Trace Label,2,,-0.27291666686,-0.00357412121957168,-0.0251256278716028,
Probe,1,,-0.2718750002,-0.00357412121957168,-0.0251256278716028,
Skew,0 s,,-0.27083333354,-0.00357412121957168,-0.0251256278716028,
,,,-0.26979166688,-0.00357412121957168,-0.0238693464780226,
MATH,,,-0.26875000022,-0.00357412121957168,-0.0238693464780226,
REFERENCE WAVEFORM,,,-0.26770833356,-0.00357412121957168,-0.0238693464780226,
TRIGGER,,,-0.2666666669,-0.00357412121957168,-0.0251256278716028,
Sweep Mode,AUTO,,-0.26562500024,-0.00357412121957168,-0.0238693464780226,
Coup,DC,,-0.26458333358,-0.00357412121957168,-0.0238693464780226,
Noise Rej,Off,,-0.26354166692,-0.00357412121957168,-0.0238693464780226,
HF Rej,Off,,-0.26250000026,-0.00357412121957168,-0.0238693464780226,
Holdoff,40.0 ns,,-0.2614583336,-0.00357412121957168,-0.0238693464780226,
Mode,GLIT,,-0.26041666694,-0.00357412121957168,-0.0238693464780226,
Source,CHAN1,,-0.25937500028,-0.00357412121957168,-0.0238693464780226,
Slope,POS,,-0.25833333362,-0.00357412121957168,-0.0238693464780226,
Level,-5.2 mV V,,-0.25729166696,-0.00357412121957168,-0.0238693464780226,
,,,-0.2562500003,-0.00357412121957168,-0.0251256278716028,
HORIZONTAL,,,-0.25520833364,-0.00357412121957168,-0.0238693464780226,
Mode,MAIN,,-0.25416666698,-0.00357412121957168,-0.0238693464780226,
Ref,CENT,,-0.25312500032,-0.00344849308021367,-0.0238693464780226,
Main Scale,100 ms/,,-0.25208333366,-0.00357412121957168,-0.0251256278716028,
Main Delay,197 ms,,-0.251041667,-0.00357412121957168,-0.0238693464780226,
,,,-0.25000000034,-0.00344849308021367,-0.0251256278716028,
ACQUISITION,,,-0.24895833368,-0.00344849308021367,-0.0238693464780226,
Mode,HRES,,-0.24791666702,-0.00357412121957168,-0.0251256278716028,
RealTime,On,,-0.24687500036,-0.00357412121957168,-0.0238693464780226,
Vectors,On,,-0.2458333337,-0.00357412121957168,-0.0251256278716028,
Persistence,Off,,-0.24479166704,-0.00357412121957168,-0.0238693464780226,
,,,-0.24375000038,-0.00344849308021367,-0.0238693464780226,
,,,-0.24270833372,-0.00344849308021367,-0.0238693464780226,
,,,-0.24166666706,-0.00357412121957168,-0.0238693464780226,
,,,-0.2406250004,-0.00357412121957168,-0.0238693464780226,
,,,-0.23958333374,-0.00344849308021367,-0.0238693464780226,
,,,-0.23854166708,-0.00357412121957168,-0.0238693464780226,
,,,-0.23750000042,-0.00357412121957168,-0.0238693464780226,
,,,-0.23645833376,-0.00344849308021367,-0.0251256278716028,
,,,-0.2354166671,-0.00344849308021367,-0.0238693464780226,
,,,-0.23437500044,-0.00344849308021367,-0.0238693464780226,
,,,-0.23333333378,-0.00344849308021367,-0.0251256278716028,
,,,-0.23229166712,-0.00344849308021367,-0.0238693464780226,
,,,-0.23125000046,-0.00357412121957168,-0.0238693464780226,
