# B/mT, VmV
# part1
140 -15.05
138 -15.17
136 -15.71
134 -17.37
132 -18.76
130 -17.02
128 -13.58
127 -13.85
126 -10.53
125 -10.69
123 -12.58
121 -12.22
119 -12.83 
117 -13.45
114 -15.25
110 -17.83
106 -20.42
100 -24.83
95 -29.46
89 -34.02
83 -41.18
77 -45.74
72 -49.96
67 -53.26
61 -55.21
56 -56.38
51 -57.26
45 -57.64
40 -57.96
#
140 05.11
138 07.09
136 08.01
134 -2.20
131 -01.16
130 01.72
128 09.99
126 10.68
123 05.92
121 11.25
119 13.38
114 16.25
110 18.34
104 22.91
99 26.64
95 29.11
90 33.75
85 40.85
80 45.39
75 48.46
70 52.81
65 55.68
60 57.72
55 58.96
50 60.08
45 60.81

40 61.36
