# B/mT, VmV
# part1
140 0.49
138 0.50
136 0.89
134 1.36
132 1.91
130 2.14
128 2.53
126 3.13
124 4.03
122 4.86
120 6.05
117 7.43
116 8.33
114 9.62
113 10.65 
111 12.13
109 14.17
107 15.90
107 16.35
105 18.17
104 19.61
103 21.10
101 23.67
98 27.92
95 32.22
91 40.15
84 50.63
78 58.89
72 65.52
67 68.59
61 71.86
56 73.12
51 73.70
47 73.75
44 73.68
40 73.43
# part 2
140 8.62
138 8.93
136 9.35
134 9.72
132 10.18
130 10.44
128 10.80
119 12.09
117 12.13
112 11.58
109 10.63
107 9.93
104 7.90
99 4.65
94 -1.22
89 -7.63
85 -13.67
79 -21.34
74 -26.98
69 -30.88
63 -35.18
59 -37.47
54 -39.12
50 -40.13
45 -41.12
41 -41.83
