# B/mT, VmV
# part1
140 -5.67
138 -5.60
136 -5.58
134 -5.54
132 -5.49
130 -5.41
128 -5.29
126 -5.12
124 -4.89
121 -4.48
118 -3.55
113 -1.96
109 2.60
103 5.33
100 08.00
95 14.75
91 22.19
83 36.36
78 45.81
74 52.68
67 60.31
61 65.75
55 67.91
50 69.52
45 70.03
41 70.02
#
141 3.21
138 3.49
136 3.69
134 3.82
132 3.99
130 4.15
128 4.28
126 4.37
124 4.41
121 4.38
119 4.25
115 3.41
110 2.05
105 -0.56
102 -2.76
101 -3.84
99 -5.37
95 -11.54
90 -17.89
86 -24.74
80 -33.98
75 -40.96
69 -47.86
62 -54.39
56 -57.45
51 -59.21
46 -60.58
41 -31.15
