# B/mT, VmV
# part1
142 -60.32
142 -59.26
140 -57.88
139 -58.52
138 -59.77
136 -61.23
134 -63.34
132 -64.80
131 -66.23
129 -69.14
127 -71.45
125 -73.81
123 -76.32
121 -79.99
119 -82.84
116 -88.89
113 -118.83
110 -126.4
106 -132.88
99 -148.63
95 -158.26
90 -166.73
85 -178.11
80 -186.89
75 -194.98
70 -204.1
65 -211.4
60 -218.6
55 -226.5
50 -233.6
45 -239.3
40 -245.5
# part2
142 -53.1
140 -23.9
138 -55.4
136 -56.4
134 -58.1
132 -60.7
130 -61.4
128 -63.4
126 -65.9
124 -68.9
121 -75.1
119 -78.9
115 -107.1
112 -110.3
109 -86.5
106 -90.6
101 -97.7
96 -101.4
92 -104.9
86 -112.9
81 -118.3
76 -125.7
72 -128.6
67 -134.3
61 -141.4
57 -147.7
52 -153.3
47 -158.2
43 -162.5
40 -164.6
