# B/mT, VmV
# part1
140 12.09
138 12.39
136 12.40
134 12.27
132 10.76
130 10.29
128 10.00
126 9.79
124 9.59
122 9.51
120 9.38
114 8.27
111 7.62
105 4.55
99 0.72
95 -2.22
89 -6.88
85 -10.98
79 -15.28
75 -19.27
71 -21.62
66 -24.60
61 -27.08
56 -29.00
51 -30.40
45 -31.90
41 -33.03
# part 2
140 25.52
138 26.03
135 27.27
134 27.82
132 28.33
130 29.29
128 29.90
126 31.20
124 32.39
122 33.55
120 34.55
115 37.21
111 40.31
105 45.13
101 48.50
97 51.86
91 56.54
85 62.84
79 66.61
74 70.04
70 72.39
65 74.49
59 76.03
55 76.89
49 77.16
45 77.18
40 76.98
