# B/mT, VmV
# part1
141 4.63
139 4.80
138 5.05
136 5.30
134 6.31
132 6.65
130 7.27
128 8.01
126 8.49
124 9.55
122 10.99
120 12.86
119 13.50
117 15.08
115 16.61
111 19.65
105 26.55
99 34.53
93 42.87
87 54.77
83 61.26
76 70.46
71 74.45
65 78.37
61 80.06
56 80.40
52 80.99
47 81.48
43 81.25
40 81.09
#
140 13.96
138 14.01
136 14.39
134 14.95
132 15.95
130 15.83
128 16.36
126 16.75
124 17.30
122 17.62
119 17.91
117 18.18
113 18.32
110 17.78
104 14.90
101 12.92
98 10.68
96 9.30
94 06.96
90 2.52
84 -5.68
79 -12.32
72 -19.11
67 -23.46
61 -28.25
56 -29.51
50 -31.09
45 -31.75
41 -33.08
