# B/mT, VmV
# part1
140 -15.05
138 -14.77
136 -14.77
134 -14.96
132 -15.08
130 -15.32
128 -16.76
126 -16.96
123 -17.10
121 -17.15
120 -17.38
115 -17.09
110 -15.94
105 -11.09
100 -07.61
95 -3.21
90 3.92
85 10.32
81 15.83
75 24.87
70 28.81
65 32.16
60 34.53
55 36.23
50 37.61
45 38.36
41 38.71
#
140 -4.55
138 -3.76
136 -3.33
134 -3.38
132 -3.70
130 -4.12
128 -4.93
126 -6.33
124 -7.08
122 -8.83
119 -9.33
113 -12.11
111 -11.48
106 -13.18
100 -18.87
95 -26.31
89 -34.17
85 -41.07
79 -51.00
75 -56.97
70 -61.06
65 -65.00
60 -65.19
55 -66.53
50 -67.37
45 -68.38
41 -68.45
