Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.247,0.294,0.352
150,0.356,0.424,0.505
200,0.449,0.532,0.629
250,0.523,0.62,0.728
300,0.583,0.69,0.804
350,0.63,0.744,0.864
400,0.668,0.788,0.911
450,0.698,0.823,0.946
500,0.722,0.85,0.974
550,0.742,0.873,0.997
600,0.757,0.89,1.015
650,0.77,0.906,1.028
700,0.781,0.918,1.039
750,0.79,0.929,1.048
800,0.798,0.938,1.055
850,0.804,0.945,1.061
900,0.81,0.951,1.065
950,0.815,0.957,1.069
1000,0.82,0.962,1.073
1050,0.823,0.966,1.075
1100,0.827,0.97,1.077
1150,0.829,0.973,1.078
1200,0.832,0.976,1.079
1250,0.834,0.979,1.08
1300,0.836,0.981,1.081
1350,0.838,0.983,1.081
1400,0.84,0.985,1.081
1450,0.841,0.987,1.081
1500,0.843,0.989,1.081
1550,0.844,0.99,1.081
1600,0.845,0.991,1.08
1650,0.846,0.993,1.08
1700,0.848,0.994,1.08
1750,0.848,0.995,1.079
1800,0.85,0.996,1.078
1850,0.85,0.997,1.078
1900,0.851,0.997,1.076
1950,0.851,0.998,1.076
2000,0.852,0.999,1.075
2050,0.853,0.999,1.074
2100,0.853,1.0,1.073
2150,0.854,1.001,1.073
2200,0.855,1.001,1.072
2250,0.855,1.002,1.071
2300,0.856,1.003,1.07
2350,0.856,1.003,1.069
2400,0.857,1.004,1.068
2450,0.857,1.004,1.067
2500,0.858,1.005,1.066
2550,0.858,1.005,1.065
2600,0.858,1.005,1.065
2650,0.859,1.006,1.064
2700,0.859,1.007,1.063
2750,0.859,1.007,1.062
2800,0.86,1.007,1.061
2850,0.86,1.008,1.06
2900,0.861,1.008,1.059
2950,0.861,1.009,1.059
3000,0.862,1.009,1.058
3050,0.862,1.01,1.058
3100,0.862,1.01,1.056
3150,0.863,1.01,1.056
3200,0.863,1.011,1.055
3250,0.863,1.011,1.054
3300,0.864,1.011,1.054
3350,0.864,1.012,1.053
3400,0.864,1.012,1.052
3450,0.865,1.013,1.052
3500,0.865,1.013,1.051
3550,0.865,1.013,1.05
3600,0.866,1.013,1.049
3650,0.866,1.014,1.049
3700,0.867,1.014,1.048
3750,0.867,1.015,1.047
