Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
3800,0.867,1.015,1.047
3850,0.868,1.015,1.046
3900,0.868,1.016,1.045
3950,0.868,1.016,1.045
4000,0.869,1.017,1.044
4050,0.869,1.017,1.043
4100,0.87,1.017,1.043
4150,0.87,1.018,1.042
4200,0.871,1.018,1.042
4250,0.871,1.018,1.041
4300,0.871,1.019,1.04
4350,0.872,1.019,1.04
4400,0.872,1.019,1.039
4450,0.872,1.02,1.039
4500,0.873,1.02,1.038
4550,0.873,1.02,1.038
4600,0.873,1.021,1.037
4650,0.874,1.021,1.037
4700,0.874,1.021,1.036
4750,0.874,1.022,1.035
4800,0.875,1.022,1.035
4850,0.875,1.022,1.034
4900,0.876,1.023,1.034
4950,0.876,1.023,1.034
5000,0.876,1.023,1.033
5050,0.877,1.024,1.033
5100,0.877,1.024,1.032
5150,0.878,1.025,1.032
5200,0.878,1.025,1.031
5250,0.878,1.025,1.031
5300,0.879,1.025,1.03
5350,0.879,1.026,1.03
5400,0.88,1.026,1.03
5450,0.88,1.026,1.029
5500,0.88,1.027,1.029
5550,0.881,1.027,1.028
5600,0.881,1.028,1.028
5650,0.882,1.028,1.028
5700,0.882,1.028,1.027
5750,0.882,1.028,1.027
5800,0.883,1.029,1.026
5850,0.883,1.029,1.026
5900,0.883,1.029,1.026
5950,0.884,1.03,1.026
6000,0.885,1.03,1.025
6050,0.885,1.031,1.025
6100,0.885,1.031,1.024
6150,0.886,1.031,1.024
6200,0.886,1.032,1.024
6250,0.886,1.032,1.024
6300,0.887,1.032,1.023
6350,0.887,1.033,1.023
6400,0.888,1.033,1.023
6450,0.888,1.033,1.022
6500,0.888,1.034,1.022
6550,0.889,1.034,1.022
6600,0.889,1.035,1.022
6650,0.89,1.035,1.021
6700,0.89,1.035,1.021
6750,0.891,1.036,1.021
6800,0.891,1.036,1.02
6850,0.892,1.036,1.02
6900,0.892,1.037,1.02
6950,0.892,1.037,1.02
7000,0.893,1.038,1.019
7050,0.894,1.038,1.019
7100,0.894,1.038,1.019
7150,0.895,1.039,1.018
7200,0.895,1.039,1.018
7250,0.895,1.039,1.018
7300,0.896,1.04,1.018
7350,0.896,1.04,1.018
7400,0.897,1.041,1.017
7450,0.897,1.041,1.017
7500,0.898,1.041,1.016
7550,0.899,1.041,1.016
7600,0.899,1.042,1.016
7650,0.899,1.043,1.016
7700,0.9,1.043,1.015
7750,0.9,1.043,1.015
7800,0.901,1.043,1.015
7850,0.901,1.044,1.015
7900,0.902,1.044,1.015
7950,0.903,1.044,1.015
8000,0.903,1.045,1.014
8050,0.904,1.045,1.014
8100,0.904,1.045,1.014
8150,0.904,1.046,1.013
8200,0.905,1.046,1.013
8250,0.905,1.046,1.013
8300,0.906,1.047,1.013
8350,0.906,1.047,1.012
8400,0.907,1.047,1.012
8450,0.907,1.047,1.012
8500,0.908,1.048,1.012
8550,0.908,1.048,1.012
8600,0.908,1.048,1.011
8650,0.909,1.049,1.011
8700,0.909,1.049,1.011
8750,0.91,1.05,1.01
8800,0.91,1.05,1.01
8850,0.91,1.05,1.01
8900,0.911,1.05,1.01
8950,0.912,1.05,1.009
9000,0.912,1.051,1.009
9050,0.913,1.051,1.008
9100,0.913,1.051,1.009
9150,0.913,1.051,1.008
9200,0.914,1.052,1.008
9250,0.914,1.052,1.008
9300,0.915,1.052,1.007
9350,0.915,1.053,1.007
9400,0.916,1.053,1.007
9450,0.916,1.053,1.007
9500,0.917,1.053,1.007
9550,0.917,1.053,1.006
9600,0.917,1.053,1.006
9650,0.918,1.054,1.006
9700,0.918,1.053,1.005
9750,0.919,1.054,1.005
9800,0.919,1.054,1.005
9850,0.92,1.054,1.005
9900,0.92,1.054,1.004
9950,0.92,1.055,1.004
10000,0.92,1.055,1.004
