Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.508,0.608,0.721
150,0.739,0.882,1.038
200,0.935,1.112,1.3
250,1.094,1.3,1.51
300,1.222,1.45,1.67
350,1.32,1.57,1.8
400,1.41,1.66,1.9
450,1.47,1.74,1.97
500,1.52,1.8,2.04
550,1.57,1.85,2.08
600,1.6,1.89,2.12
650,1.63,1.92,2.15
700,1.65,1.95,2.18
750,1.67,1.97,2.2
800,1.69,1.99,2.22
850,1.71,2.01,2.23
900,1.72,2.02,2.24
950,1.73,2.03,2.25
1000,1.74,2.04,2.26
1050,1.75,2.05,2.26
1100,1.75,2.06,2.27
1150,1.76,2.07,2.27
1200,1.77,2.08,2.27
1250,1.77,2.08,2.28
1300,1.78,2.09,2.28
1350,1.78,2.09,2.28
1400,1.78,2.09,2.28
1450,1.79,2.1,2.28
1500,1.79,2.1,2.28
1550,1.79,2.11,2.28
1600,1.8,2.11,2.28
1650,1.8,2.11,2.28
1700,1.8,2.11,2.28
1750,1.8,2.12,2.28
1800,1.8,2.12,2.28
1850,1.81,2.12,2.28
1900,1.81,2.12,2.27
1950,1.81,2.12,2.27
2000,1.81,2.12,2.27
2050,1.81,2.13,2.27
2100,1.81,2.13,2.27
2150,1.81,2.13,2.27
2200,1.82,2.13,2.27
2250,1.82,2.13,2.26
2300,1.82,2.13,2.26
2350,1.82,2.13,2.26
2400,1.82,2.13,2.26
2450,1.82,2.13,2.26
2500,1.82,2.14,2.26
2550,1.82,2.14,2.25
2600,1.82,2.14,2.25
2650,1.82,2.14,2.25
2700,1.82,2.14,2.25
2750,1.83,2.14,2.25
2800,1.83,2.14,2.25
2850,1.83,2.14,2.24
2900,1.83,2.14,2.24
2950,1.83,2.14,2.24
3000,1.83,2.14,2.24
3050,1.83,2.14,2.24
3100,1.83,2.14,2.24
3150,1.83,2.15,2.23
3200,1.83,2.15,2.23
3250,1.83,2.15,2.23
3300,1.83,2.15,2.23
3350,1.83,2.15,2.23
3400,1.83,2.15,2.23
3450,1.83,2.15,2.22
3500,1.83,2.15,2.22
3550,1.84,2.15,2.22
3600,1.84,2.15,2.22
3650,1.84,2.15,2.22
3700,1.84,2.15,2.22
3750,1.84,2.15,2.21
3800,1.84,2.15,2.21
3850,1.84,2.15,2.21
3900,1.84,2.15,2.21
3950,1.84,2.15,2.21
4000,1.84,2.15,2.21
4050,1.84,2.15,2.21
4100,1.84,2.15,2.21
4150,1.84,2.16,2.2
4200,1.84,2.16,2.2
4250,1.84,2.16,2.2
4300,1.84,2.16,2.2
4350,1.84,2.16,2.2
4400,1.84,2.16,2.2
4450,1.84,2.16,2.2
4500,1.85,2.16,2.19
4550,1.85,2.16,2.19
4600,1.85,2.16,2.19
4650,1.85,2.16,2.19
4700,1.85,2.16,2.19
4750,1.85,2.16,2.19
4800,1.85,2.16,2.19
4850,1.85,2.16,2.18
4900,1.85,2.16,2.18
4950,1.85,2.16,2.18
5000,1.85,2.16,2.18
5050,1.85,2.16,2.18
5100,1.85,2.16,2.18
5150,1.85,2.16,2.18
5200,1.85,2.16,2.18
5250,1.85,2.16,2.18
5300,1.85,2.16,2.17
5350,1.85,2.17,2.17
5400,1.85,2.17,2.17
5450,1.85,2.17,2.17
5500,1.86,2.17,2.17
5550,1.86,2.17,2.17
5600,1.86,2.17,2.17
5650,1.86,2.17,2.17
5700,1.86,2.17,2.17
5750,1.86,2.17,2.16
5800,1.86,2.17,2.16
5850,1.86,2.17,2.16
5900,1.86,2.17,2.16
5950,1.86,2.17,2.16
6000,1.86,2.17,2.16
6050,1.86,2.17,2.16
6100,1.86,2.17,2.16
6150,1.86,2.17,2.16
6200,1.86,2.17,2.15
6250,1.86,2.17,2.15
6300,1.86,2.17,2.15
6350,1.86,2.17,2.15
6400,1.86,2.17,2.15
6450,1.87,2.17,2.15
6500,1.87,2.17,2.15
6550,1.87,2.17,2.15
6600,1.87,2.17,2.15
6650,1.87,2.17,2.15
6700,1.87,2.17,2.14
6750,1.87,2.17,2.14
6800,1.87,2.18,2.14
6850,1.87,2.18,2.14
6900,1.87,2.18,2.14
6950,1.87,2.18,2.14
7000,1.87,2.18,2.14
7050,1.87,2.18,2.14
7100,1.87,2.18,2.14
7150,1.87,2.18,2.14
7200,1.87,2.18,2.13
7250,1.87,2.18,2.13
7300,1.87,2.18,2.13
7350,1.87,2.18,2.13
7400,1.88,2.18,2.13
7450,1.88,2.18,2.13
7500,1.88,2.18,2.13
7550,1.88,2.18,2.13
7600,1.88,2.18,2.13
7650,1.88,2.18,2.13
7700,1.88,2.18,2.13
7750,1.88,2.18,2.13
7800,1.88,2.18,2.12
7850,1.88,2.18,2.12
7900,1.88,2.18,2.12
7950,1.88,2.18,2.12
8000,1.88,2.18,2.12
8050,1.88,2.18,2.12
8100,1.88,2.18,2.12
8150,1.88,2.18,2.12
8200,1.88,2.18,2.12
8250,1.88,2.18,2.12
8300,1.88,2.18,2.12
8350,1.89,2.18,2.12
8400,1.89,2.18,2.11
8450,1.89,2.18,2.11
8500,1.89,2.18,2.11
8550,1.89,2.18,2.11
8600,1.89,2.18,2.11
8650,1.89,2.18,2.11
8700,1.89,2.19,2.11
8750,1.89,2.18,2.11
8800,1.89,2.18,2.11
8850,1.89,2.18,2.11
8900,1.89,2.18,2.11
8950,1.89,2.19,2.1
9000,1.89,2.19,2.1
9050,1.89,2.19,2.1
9100,1.89,2.19,2.1
9150,1.89,2.19,2.1
9200,1.89,2.19,2.1
9250,1.89,2.19,2.1
9300,1.9,2.19,2.1
9350,1.9,2.19,2.1
9400,1.9,2.19,2.1
9450,1.9,2.19,2.1
9500,1.9,2.19,2.1
9550,1.9,2.19,2.09
9600,1.9,2.19,2.09
9650,1.9,2.19,2.09
9700,1.9,2.19,2.09
9750,1.9,2.19,2.09
9800,1.9,2.19,2.09
9850,1.9,2.19,2.09
9900,1.9,2.19,2.09
9950,1.9,2.19,2.09
10000,1.9,2.19,2.09
