Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.525,0.628,0.755
150,0.762,0.908,1.083
200,0.959,1.139,1.35
250,1.119,1.33,1.56
300,1.246,1.47,1.72
350,1.35,1.59,1.85
400,1.43,1.68,1.94
450,1.49,1.75,2.02
500,1.54,1.81,2.08
550,1.58,1.86,2.12
600,1.61,1.9,2.16
650,1.64,1.93,2.19
700,1.66,1.95,2.21
750,1.68,1.97,2.23
800,1.7,1.99,2.25
850,1.71,2.01,2.26
900,1.72,2.02,2.27
950,1.73,2.03,2.28
1000,1.74,2.04,2.28
1050,1.75,2.05,2.29
1100,1.76,2.06,2.29
1150,1.76,2.07,2.3
1200,1.77,2.07,2.3
1250,1.77,2.08,2.3
1300,1.78,2.08,2.3
1350,1.78,2.09,2.3
1400,1.79,2.09,2.3
1450,1.79,2.09,2.3
1500,1.79,2.1,2.3
1550,1.79,2.1,2.3
1600,1.8,2.1,2.3
1650,1.8,2.11,2.3
1700,1.8,2.11,2.3
1750,1.8,2.11,2.3
1800,1.8,2.11,2.3
1850,1.81,2.11,2.3
1900,1.81,2.12,2.29
1950,1.81,2.12,2.29
2000,1.81,2.12,2.29
2050,1.81,2.12,2.29
2100,1.81,2.12,2.29
2150,1.81,2.12,2.29
2200,1.82,2.12,2.28
2250,1.82,2.12,2.28
2300,1.82,2.13,2.28
2350,1.82,2.13,2.28
2400,1.82,2.13,2.28
2450,1.82,2.13,2.28
2500,1.82,2.13,2.27
2550,1.82,2.13,2.27
2600,1.82,2.13,2.27
2650,1.82,2.13,2.27
2700,1.82,2.13,2.27
2750,1.82,2.13,2.26
2800,1.83,2.13,2.26
2850,1.83,2.13,2.26
2900,1.83,2.14,2.26
2950,1.83,2.14,2.26
3000,1.83,2.14,2.26
3050,1.83,2.14,2.25
3100,1.83,2.14,2.25
3150,1.83,2.14,2.25
3200,1.83,2.14,2.25
3250,1.83,2.14,2.25
3300,1.83,2.14,2.25
3350,1.83,2.14,2.24
3400,1.83,2.14,2.24
3450,1.83,2.14,2.24
3500,1.83,2.14,2.24
3550,1.83,2.14,2.24
3600,1.84,2.14,2.24
3650,1.84,2.14,2.23
3700,1.84,2.15,2.23
3750,1.84,2.15,2.23
3800,1.84,2.15,2.23
3850,1.84,2.15,2.23
3900,1.84,2.15,2.23
3950,1.84,2.15,2.22
4000,1.84,2.15,2.22
4050,1.84,2.15,2.22
4100,1.84,2.15,2.22
4150,1.84,2.15,2.22
4200,1.84,2.15,2.22
4250,1.84,2.15,2.22
4300,1.84,2.15,2.21
4350,1.84,2.15,2.21
4400,1.84,2.15,2.21
