Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.529,0.619,0.749
150,0.768,0.899,1.081
200,0.971,1.135,1.35
250,1.139,1.33,1.57
300,1.273,1.48,1.74
350,1.38,1.61,1.88
400,1.47,1.7,1.98
450,1.54,1.78,2.07
500,1.59,1.85,2.13
550,1.64,1.9,2.18
600,1.68,1.94,2.22
650,1.71,1.98,2.26
700,1.73,2.01,2.28
750,1.75,2.03,2.3
800,1.77,2.05,2.32
850,1.79,2.07,2.34
900,1.8,2.08,2.35
950,1.81,2.1,2.36
1000,1.82,2.11,2.36
1050,1.83,2.12,2.37
1100,1.84,2.13,2.37
1150,1.85,2.14,2.38
1200,1.85,2.14,2.38
1250,1.86,2.15,2.38
1300,1.86,2.15,2.38
1350,1.87,2.16,2.39
1400,1.87,2.16,2.39
1450,1.88,2.17,2.39
1500,1.88,2.17,2.39
1550,1.88,2.17,2.39
1600,1.88,2.18,2.38
1650,1.89,2.18,2.38
1700,1.89,2.18,2.38
1750,1.89,2.18,2.38
1800,1.89,2.19,2.38
1850,1.9,2.19,2.38
1900,1.9,2.19,2.38
1950,1.9,2.19,2.37
2000,1.9,2.19,2.37
2050,1.9,2.19,2.37
2100,1.9,2.2,2.37
2150,1.9,2.2,2.37
2200,1.9,2.2,2.36
2250,1.91,2.2,2.36
2300,1.91,2.2,2.36
2350,1.91,2.2,2.36
2400,1.91,2.2,2.36
2450,1.91,2.2,2.35
2500,1.91,2.2,2.35
2550,1.91,2.21,2.35
2600,1.91,2.21,2.35
2650,1.91,2.21,2.35
2700,1.91,2.21,2.34
2750,1.91,2.21,2.34
2800,1.91,2.21,2.34
2850,1.91,2.21,2.34
2900,1.92,2.21,2.33
2950,1.92,2.21,2.33
3000,1.92,2.21,2.33
3050,1.92,2.21,2.33
3100,1.92,2.21,2.33
3150,1.92,2.21,2.32
3200,1.92,2.21,2.32
3250,1.92,2.21,2.32
3300,1.92,2.21,2.32
3350,1.92,2.21,2.32
3400,1.92,2.21,2.31
3450,1.92,2.21,2.31
3500,1.92,2.21,2.31
3550,1.92,2.22,2.31
3600,1.92,2.22,2.31
3650,1.92,2.22,2.3
3700,1.92,2.22,2.3
3750,1.92,2.22,2.3
3800,1.92,2.22,2.3
3850,1.93,2.22,2.3
3900,1.93,2.22,2.29
3950,1.93,2.22,2.29
4000,1.93,2.22,2.29
4050,1.93,2.22,2.29
4100,1.93,2.22,2.29
4150,1.93,2.22,2.29
4200,1.93,2.22,2.28
4250,1.93,2.22,2.28
4300,1.93,2.22,2.28
4350,1.93,2.22,2.28
4400,1.93,2.22,2.28
4450,1.93,2.22,2.28
4500,1.93,2.22,2.27
4550,1.93,2.22,2.27
4600,1.93,2.22,2.27
4650,1.93,2.22,2.27
4700,1.93,2.22,2.27
4750,1.93,2.22,2.27
4800,1.93,2.22,2.26
4850,1.93,2.22,2.26
4900,1.93,2.22,2.26
4950,1.93,2.22,2.26
5000,1.93,2.22,2.26
5050,1.93,2.22,2.26
5100,1.93,2.22,2.25
5150,1.94,2.22,2.25
5200,1.94,2.22,2.25
5250,1.94,2.22,2.25
5300,1.94,2.22,2.25
5350,1.94,2.22,2.25
5400,1.94,2.22,2.25
5450,1.94,2.22,2.24
5500,1.94,2.22,2.24
5550,1.94,2.23,2.24
5600,1.94,2.23,2.24
5650,1.94,2.23,2.24
5700,1.94,2.23,2.24
5750,1.94,2.23,2.24
5800,1.94,2.23,2.23
5850,1.94,2.23,2.23
5900,1.94,2.23,2.23
5950,1.94,2.23,2.23
6000,1.94,2.23,2.23
6050,1.94,2.23,2.23
6100,1.94,2.23,2.23
6150,1.94,2.23,2.22
6200,1.94,2.23,2.22
6250,1.94,2.23,2.22
6300,1.94,2.23,2.22
6350,1.94,2.23,2.22
6400,1.94,2.23,2.22
6450,1.94,2.23,2.22
6500,1.95,2.23,2.22
6550,1.95,2.23,2.21
6600,1.95,2.23,2.21
6650,1.95,2.23,2.21
6700,1.95,2.23,2.21
6750,1.95,2.23,2.21
6800,1.95,2.23,2.21
6850,1.95,2.23,2.21
6900,1.95,2.23,2.2
6950,1.95,2.23,2.2
7000,1.95,2.23,2.2
7050,1.95,2.23,2.2
7100,1.95,2.23,2.2
7150,1.95,2.23,2.2
7200,1.95,2.23,2.2
7250,1.95,2.23,2.2
7300,1.95,2.23,2.19
7350,1.95,2.23,2.19
7400,1.95,2.23,2.19
7450,1.95,2.23,2.19
7500,1.95,2.23,2.19
7550,1.95,2.23,2.19
7600,1.95,2.23,2.19
7650,1.95,2.23,2.19
7700,1.95,2.23,2.18
7750,1.95,2.23,2.18
7800,1.95,2.23,2.18
7850,1.95,2.23,2.18
7900,1.95,2.23,2.18
7950,1.95,2.23,2.18
8000,1.96,2.23,2.18
8050,1.96,2.23,2.18
8100,1.96,2.23,2.17
8150,1.96,2.23,2.17
8200,1.96,2.23,2.17
8250,1.96,2.23,2.17
8300,1.96,2.23,2.17
8350,1.96,2.23,2.17
8400,1.96,2.23,2.17
8450,1.96,2.23,2.17
8500,1.96,2.23,2.17
8550,1.96,2.23,2.16
8600,1.96,2.23,2.16
8650,1.96,2.23,2.16
8700,1.96,2.23,2.16
8750,1.96,2.22,2.16
8800,1.96,2.22,2.16
8850,1.96,2.22,2.16
8900,1.96,2.22,2.16
8950,1.96,2.22,2.15
9000,1.96,2.22,2.15
9050,1.96,2.22,2.15
9100,1.96,2.22,2.15
9150,1.96,2.22,2.15
9200,1.96,2.22,2.15
9250,1.96,2.22,2.15
9300,1.96,2.22,2.14
9350,1.96,2.22,2.14
9400,1.96,2.22,2.14
9450,1.96,2.22,2.14
9500,1.96,2.22,2.14
9550,1.96,2.22,2.14
9600,1.96,2.22,2.14
9650,1.96,2.22,2.14
9700,1.96,2.22,2.13
9750,1.96,2.22,2.13
9800,1.96,2.22,2.13
9850,1.96,2.22,2.13
9900,1.96,2.22,2.13
9950,1.96,2.22,2.13
10000,1.97,2.22,2.13
