Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.511,0.612,0.732
150,0.743,0.888,1.052
200,0.94,1.118,1.31
250,1.098,1.31,1.52
300,1.226,1.45,1.68
350,1.33,1.57,1.81
400,1.41,1.67,1.91
450,1.47,1.74,1.99
500,1.53,1.8,2.05
550,1.57,1.85,2.1
600,1.6,1.89,2.13
650,1.63,1.92,2.16
700,1.66,1.95,2.19
750,1.68,1.97,2.21
800,1.69,1.99,2.22
850,1.71,2.01,2.24
900,1.72,2.02,2.25
950,1.73,2.04,2.25
1000,1.74,2.05,2.26
1050,1.75,2.06,2.27
1100,1.76,2.06,2.27
1150,1.76,2.07,2.28
1200,1.77,2.08,2.28
1250,1.77,2.08,2.28
1300,1.78,2.09,2.28
1350,1.78,2.09,2.28
1400,1.79,2.1,2.28
1450,1.79,2.1,2.28
1500,1.79,2.11,2.28
1550,1.8,2.11,2.28
1600,1.8,2.11,2.28
1650,1.8,2.12,2.28
1700,1.8,2.12,2.28
1750,1.81,2.12,2.28
1800,1.81,2.12,2.28
1850,1.81,2.12,2.28
1900,1.81,2.13,2.28
1950,1.81,2.13,2.27
2000,1.81,2.13,2.27
2050,1.82,2.13,2.27
2100,1.82,2.13,2.27
2150,1.82,2.13,2.27
2200,1.82,2.14,2.27
2250,1.82,2.14,2.27
2300,1.82,2.14,2.26
2350,1.82,2.14,2.26
2400,1.82,2.14,2.26
2450,1.82,2.14,2.26
2500,1.83,2.14,2.26
2550,1.83,2.14,2.26
2600,1.83,2.14,2.25
2650,1.83,2.15,2.25
2700,1.83,2.15,2.25
2750,1.83,2.15,2.25
2800,1.83,2.15,2.25
2850,1.83,2.15,2.25
2900,1.83,2.15,2.24
2950,1.83,2.15,2.24
3000,1.83,2.15,2.24
3050,1.84,2.15,2.24
3100,1.84,2.15,2.24
3150,1.84,2.15,2.24
3200,1.84,2.15,2.24
3250,1.84,2.16,2.23
3300,1.84,2.16,2.23
3350,1.84,2.16,2.23
3400,1.84,2.16,2.23
3450,1.84,2.16,2.23
3500,1.84,2.16,2.23
3550,1.84,2.16,2.23
3600,1.84,2.16,2.23
3650,1.84,2.16,2.22
3700,1.84,2.16,2.22
3750,1.85,2.16,2.22
3800,1.85,2.16,2.22
3850,1.85,2.16,2.22
3900,1.85,2.17,2.22
3950,1.85,2.17,2.22
4000,1.85,2.17,2.22
4050,1.85,2.17,2.21
4100,1.85,2.17,2.21
4150,1.85,2.17,2.21
4200,1.85,2.17,2.21
4250,1.85,2.17,2.21
4300,1.85,2.17,2.21
4350,1.85,2.17,2.21
4400,1.86,2.17,2.21
4450,1.86,2.17,2.21
4500,1.86,2.17,2.2
4550,1.86,2.17,2.2
4600,1.86,2.18,2.2
4650,1.86,2.18,2.2
4700,1.86,2.18,2.2
4750,1.86,2.18,2.2
4800,1.86,2.18,2.2
4850,1.86,2.18,2.2
4900,1.86,2.18,2.2
4950,1.86,2.18,2.2
5000,1.86,2.18,2.19
5050,1.86,2.18,2.19
5100,1.87,2.18,2.19
5150,1.87,2.18,2.19
5200,1.87,2.18,2.19
5250,1.87,2.19,2.19
5300,1.87,2.19,2.19
5350,1.87,2.19,2.19
5400,1.87,2.19,2.19
5450,1.87,2.19,2.19
5500,1.87,2.19,2.19
5550,1.87,2.19,2.18
5600,1.87,2.19,2.18
5650,1.87,2.19,2.18
5700,1.88,2.19,2.18
5750,1.88,2.19,2.18
5800,1.88,2.19,2.18
5850,1.88,2.19,2.18
5900,1.88,2.19,2.18
5950,1.88,2.2,2.18
6000,1.88,2.2,2.18
6050,1.88,2.2,2.18
6100,1.88,2.2,2.18
6150,1.88,2.2,2.18
6200,1.88,2.2,2.18
6250,1.88,2.2,2.17
6300,1.88,2.2,2.17
6350,1.88,2.2,2.17
6400,1.89,2.2,2.17
6450,1.89,2.2,2.17
6500,1.89,2.2,2.17
6550,1.89,2.2,2.17
6600,1.89,2.2,2.17
6650,1.89,2.21,2.17
6700,1.89,2.21,2.17
6750,1.89,2.21,2.17
6800,1.89,2.21,2.17
6850,1.89,2.21,2.17
6900,1.89,2.21,2.17
6950,1.9,2.21,2.17
7000,1.9,2.21,2.17
7050,1.9,2.21,2.16
7100,1.9,2.21,2.16
7150,1.9,2.21,2.16
7200,1.9,2.21,2.16
7250,1.9,2.21,2.16
7300,1.9,2.21,2.16
7350,1.9,2.22,2.16
7400,1.9,2.22,2.16
7450,1.9,2.22,2.16
7500,1.9,2.22,2.16
7550,1.91,2.22,2.16
7600,1.91,2.22,2.16
7650,1.91,2.22,2.16
7700,1.91,2.22,2.16
7750,1.91,2.22,2.16
7800,1.91,2.22,2.16
7850,1.91,2.22,2.16
7900,1.91,2.22,2.16
7950,1.91,2.22,2.16
8000,1.91,2.22,2.15
8050,1.91,2.22,2.15
8100,1.92,2.22,2.15
8150,1.92,2.23,2.15
8200,1.92,2.23,2.15
8250,1.92,2.23,2.15
8300,1.92,2.23,2.15
8350,1.92,2.23,2.15
8400,1.92,2.23,2.15
8450,1.92,2.23,2.15
8500,1.92,2.23,2.15
8550,1.92,2.23,2.15
8600,1.92,2.23,2.15
8650,1.93,2.23,2.15
8700,1.93,2.23,2.15
8750,1.93,2.23,2.15
8800,1.93,2.23,2.15
8850,1.93,2.23,2.15
8900,1.93,2.23,2.15
