Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
8950,1.93,2.23,2.15
9000,1.93,2.23,2.15
9050,1.93,2.24,2.15
9100,1.93,2.24,2.14
9150,1.93,2.24,2.14
9200,1.94,2.24,2.14
9250,1.94,2.24,2.14
9300,1.94,2.24,2.14
9350,1.94,2.24,2.14
9400,1.94,2.24,2.14
9450,1.94,2.24,2.14
9500,1.94,2.24,2.14
9550,1.94,2.24,2.14
9600,1.94,2.24,2.14
9650,1.94,2.24,2.14
9700,1.94,2.24,2.14
9750,1.94,2.24,2.14
9800,1.94,2.24,2.14
9850,1.95,2.24,2.14
9900,1.95,2.24,2.14
9950,1.95,2.24,2.13
10000,1.95,2.24,2.13
