Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.529,0.627,0.748
150,0.766,0.909,1.072
200,0.965,1.141,1.34
250,1.126,1.33,1.55
300,1.253,1.48,1.71
350,1.35,1.59,1.83
400,1.43,1.68,1.93
450,1.5,1.76,2.01
500,1.55,1.82,2.06
550,1.59,1.86,2.11
600,1.62,1.9,2.15
650,1.65,1.93,2.18
700,1.67,1.96,2.2
750,1.69,1.98,2.22
800,1.71,2.0,2.24
850,1.72,2.02,2.25
900,1.74,2.03,2.26
950,1.75,2.04,2.27
1000,1.76,2.05,2.27
1050,1.76,2.06,2.28
1100,1.77,2.07,2.28
1150,1.78,2.08,2.28
1200,1.78,2.08,2.29
1250,1.79,2.09,2.29
1300,1.79,2.09,2.29
1350,1.8,2.1,2.29
1400,1.8,2.1,2.29
1450,1.8,2.11,2.29
1500,1.81,2.11,2.29
1550,1.81,2.11,2.29
1600,1.81,2.11,2.29
1650,1.81,2.12,2.29
1700,1.82,2.12,2.29
1750,1.82,2.12,2.29
1800,1.82,2.12,2.29
1850,1.82,2.13,2.28
1900,1.82,2.13,2.28
1950,1.82,2.13,2.28
2000,1.83,2.13,2.28
2050,1.83,2.13,2.28
2100,1.83,2.13,2.28
2150,1.83,2.14,2.28
2200,1.83,2.14,2.27
2250,1.83,2.14,2.27
2300,1.83,2.14,2.27
2350,1.83,2.14,2.27
2400,1.83,2.14,2.27
2450,1.84,2.14,2.27
2500,1.84,2.14,2.26
2550,1.84,2.14,2.26
2600,1.84,2.15,2.26
2650,1.84,2.15,2.26
2700,1.84,2.15,2.26
2750,1.84,2.15,2.26
2800,1.84,2.15,2.26
2850,1.84,2.15,2.25
2900,1.84,2.15,2.25
2950,1.84,2.15,2.25
3000,1.84,2.15,2.25
3050,1.85,2.15,2.25
3100,1.85,2.15,2.25
3150,1.85,2.15,2.25
3200,1.85,2.16,2.24
3250,1.85,2.16,2.24
3300,1.85,2.16,2.24
3350,1.85,2.16,2.24
3400,1.85,2.16,2.24
3450,1.85,2.16,2.24
3500,1.85,2.16,2.24
3550,1.85,2.16,2.23
3600,1.85,2.16,2.23
3650,1.85,2.16,2.23
3700,1.86,2.16,2.23
3750,1.86,2.16,2.23
3800,1.86,2.16,2.23
3850,1.86,2.17,2.23
3900,1.86,2.17,2.23
3950,1.86,2.17,2.23
4000,1.86,2.17,2.22
4050,1.86,2.17,2.22
4100,1.86,2.17,2.22
4150,1.86,2.17,2.22
4200,1.86,2.17,2.22
4250,1.86,2.17,2.22
4300,1.86,2.17,2.22
4350,1.86,2.17,2.22
4400,1.86,2.17,2.22
4450,1.87,2.17,2.21
4500,1.87,2.17,2.21
4550,1.87,2.18,2.21
4600,1.87,2.18,2.21
4650,1.87,2.18,2.21
4700,1.87,2.18,2.21
4750,1.87,2.18,2.21
4800,1.87,2.18,2.21
4850,1.87,2.18,2.21
4900,1.87,2.18,2.21
4950,1.87,2.18,2.21
5000,1.87,2.18,2.2
5050,1.87,2.18,2.2
5100,1.87,2.18,2.2
5150,1.88,2.18,2.2
5200,1.88,2.18,2.2
5250,1.88,2.19,2.2
5300,1.88,2.19,2.2
5350,1.88,2.19,2.2
5400,1.88,2.19,2.2
5450,1.88,2.19,2.2
5500,1.88,2.19,2.2
5550,1.88,2.19,2.2
5600,1.88,2.19,2.2
5650,1.88,2.19,2.19
5700,1.88,2.19,2.19
5750,1.89,2.19,2.19
5800,1.89,2.19,2.19
5850,1.89,2.19,2.19
5900,1.89,2.19,2.19
5950,1.89,2.2,2.19
6000,1.89,2.2,2.19
6050,1.89,2.2,2.19
6100,1.89,2.2,2.19
6150,1.89,2.2,2.19
6200,1.89,2.2,2.19
6250,1.89,2.2,2.19
6300,1.89,2.2,2.19
6350,1.89,2.2,2.19
6400,1.9,2.2,2.19
6450,1.9,2.2,2.18
6500,1.9,2.2,2.18
6550,1.9,2.2,2.18
6600,1.9,2.2,2.18
6650,1.9,2.21,2.18
6700,1.9,2.21,2.18
6750,1.9,2.21,2.18
6800,1.9,2.21,2.18
6850,1.9,2.21,2.18
6900,1.9,2.21,2.18
6950,1.9,2.21,2.18
7000,1.91,2.21,2.18
7050,1.91,2.21,2.18
7100,1.91,2.21,2.18
7150,1.91,2.21,2.18
7200,1.91,2.21,2.18
7250,1.91,2.22,2.18
7300,1.91,2.22,2.18
7350,1.91,2.22,2.18
7400,1.91,2.22,2.17
7450,1.91,2.22,2.17
7500,1.91,2.22,2.17
7550,1.92,2.22,2.17
7600,1.92,2.22,2.17
7650,1.92,2.22,2.17
7700,1.92,2.22,2.17
7750,1.92,2.22,2.17
7800,1.92,2.22,2.17
7850,1.92,2.22,2.17
7900,1.92,2.22,2.17
7950,1.92,2.22,2.17
8000,1.92,2.23,2.17
8050,1.92,2.23,2.17
8100,1.93,2.23,2.17
8150,1.93,2.23,2.17
8200,1.93,2.23,2.17
8250,1.93,2.23,2.17
8300,1.93,2.23,2.17
8350,1.93,2.23,2.17
8400,1.93,2.23,2.17
8450,1.93,2.23,2.17
8500,1.93,2.23,2.17
8550,1.93,2.23,2.17
8600,1.93,2.23,2.16
8650,1.94,2.23,2.16
8700,1.94,2.23,2.16
8750,1.94,2.23,2.16
8800,1.94,2.24,2.16
8850,1.94,2.24,2.16
8900,1.94,2.24,2.16
8950,1.94,2.24,2.16
9000,1.94,2.24,2.16
9050,1.94,2.24,2.16
9100,1.94,2.24,2.16
9150,1.94,2.24,2.16
9200,1.95,2.24,2.16
9250,1.95,2.24,2.16
9300,1.95,2.24,2.16
9350,1.95,2.24,2.16
9400,1.95,2.24,2.16
9450,1.95,2.24,2.16
9500,1.95,2.24,2.16
9550,1.95,2.24,2.16
9600,1.95,2.24,2.16
9650,1.95,2.24,2.16
9700,1.95,2.24,2.16
9750,1.96,2.25,2.15
9800,1.96,2.25,2.15
9850,1.96,2.25,2.15
9900,1.96,2.25,2.15
9950,1.96,2.25,2.15
10000,1.96,2.25,2.15
