Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.524,0.617,0.744
150,0.763,0.897,1.071
200,0.964,1.132,1.34
250,1.128,1.32,1.55
300,1.26,1.47,1.72
350,1.37,1.6,1.86
400,1.45,1.69,1.96
450,1.52,1.77,2.04
500,1.57,1.83,2.1
550,1.62,1.88,2.15
600,1.65,1.92,2.19
650,1.68,1.96,2.23
700,1.71,1.99,2.25
750,1.73,2.01,2.27
800,1.75,2.03,2.29
850,1.76,2.05,2.3
900,1.78,2.06,2.32
950,1.79,2.08,2.33
1000,1.8,2.09,2.33
1050,1.81,2.1,2.34
1100,1.81,2.11,2.34
1150,1.82,2.11,2.35
1200,1.83,2.12,2.35
1250,1.83,2.13,2.35
1300,1.84,2.13,2.35
1350,1.84,2.14,2.35
1400,1.84,2.14,2.35
1450,1.85,2.14,2.35
1500,1.85,2.15,2.35
1550,1.85,2.15,2.35
1600,1.86,2.15,2.35
1650,1.86,2.16,2.35
1700,1.86,2.16,2.35
1750,1.86,2.16,2.35
1800,1.87,2.16,2.35
1850,1.87,2.17,2.35
1900,1.87,2.17,2.34
1950,1.87,2.17,2.34
2000,1.87,2.17,2.34
2050,1.87,2.17,2.34
2100,1.87,2.17,2.34
2150,1.88,2.17,2.34
2200,1.88,2.18,2.33
2250,1.88,2.18,2.33
2300,1.88,2.18,2.33
2350,1.88,2.18,2.33
2400,1.88,2.18,2.33
2450,1.88,2.18,2.32
2500,1.88,2.18,2.32
2550,1.88,2.18,2.32
2600,1.88,2.18,2.32
2650,1.88,2.18,2.32
2700,1.89,2.18,2.31
2750,1.89,2.19,2.31
2800,1.89,2.19,2.31
2850,1.89,2.19,2.31
2900,1.89,2.19,2.31
2950,1.89,2.19,2.31
3000,1.89,2.19,2.3
3050,1.89,2.19,2.3
3100,1.89,2.19,2.3
3150,1.89,2.19,2.3
3200,1.89,2.19,2.3
3250,1.89,2.19,2.29
3300,1.89,2.19,2.29
3350,1.89,2.19,2.29
3400,1.89,2.19,2.29
3450,1.89,2.19,2.29
3500,1.9,2.19,2.29
3550,1.9,2.19,2.28
3600,1.9,2.19,2.28
3650,1.9,2.2,2.28
3700,1.9,2.2,2.28
3750,1.9,2.2,2.28
3800,1.9,2.2,2.27
3850,1.9,2.2,2.27
3900,1.9,2.2,2.27
3950,1.9,2.2,2.27
4000,1.9,2.2,2.27
4050,1.9,2.2,2.27
4100,1.9,2.2,2.26
4150,1.9,2.2,2.26
4200,1.9,2.2,2.26
4250,1.9,2.2,2.26
4300,1.9,2.2,2.26
4350,1.9,2.2,2.26
4400,1.9,2.2,2.26
4450,1.91,2.2,2.25
4500,1.91,2.2,2.25
4550,1.91,2.2,2.25
4600,1.91,2.2,2.25
4650,1.91,2.2,2.25
4700,1.91,2.2,2.25
4750,1.91,2.2,2.25
4800,1.91,2.2,2.24
4850,1.91,2.21,2.24
4900,1.91,2.21,2.24
4950,1.91,2.21,2.24
5000,1.91,2.21,2.24
5050,1.91,2.21,2.24
5100,1.91,2.21,2.24
