Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.525,0.616,0.752
150,0.766,0.898,1.086
200,0.971,1.134,1.36
250,1.139,1.33,1.58
300,1.275,1.48,1.76
350,1.38,1.61,1.89
400,1.47,1.71,2.0
450,1.54,1.79,2.09
500,1.6,1.85,2.15
550,1.65,1.91,2.21
600,1.68,1.95,2.25
650,1.72,1.99,2.28
700,1.74,2.02,2.31
750,1.76,2.04,2.33
800,1.78,2.06,2.35
850,1.8,2.08,2.36
900,1.81,2.1,2.38
950,1.83,2.11,2.39
1000,1.84,2.12,2.39
1050,1.84,2.13,2.4
1100,1.85,2.14,2.4
1150,1.86,2.15,2.41
1200,1.87,2.15,2.41
1250,1.87,2.16,2.41
1300,1.88,2.17,2.42
1350,1.88,2.17,2.42
1400,1.88,2.18,2.42
1450,1.89,2.18,2.42
1500,1.89,2.18,2.42
1550,1.9,2.19,2.42
1600,1.9,2.19,2.42
1650,1.9,2.19,2.42
1700,1.9,2.2,2.41
1750,1.91,2.2,2.41
1800,1.91,2.2,2.41
1850,1.91,2.2,2.41
1900,1.91,2.2,2.41
1950,1.91,2.2,2.41
2000,1.91,2.21,2.41
2050,1.92,2.21,2.4
2100,1.92,2.21,2.4
2150,1.92,2.21,2.4
2200,1.92,2.21,2.4
2250,1.92,2.21,2.4
2300,1.92,2.21,2.39
2350,1.92,2.21,2.39
2400,1.92,2.22,2.39
2450,1.92,2.22,2.39
2500,1.92,2.22,2.38
2550,1.93,2.22,2.38
2600,1.93,2.22,2.38
2650,1.93,2.22,2.38
2700,1.93,2.22,2.38
2750,1.93,2.22,2.37
2800,1.93,2.22,2.37
2850,1.93,2.22,2.37
2900,1.93,2.22,2.37
2950,1.93,2.22,2.37
3000,1.93,2.22,2.36
3050,1.93,2.22,2.36
3100,1.93,2.22,2.36
3150,1.93,2.23,2.36
3200,1.93,2.23,2.36
3250,1.93,2.23,2.35
3300,1.93,2.23,2.35
3350,1.93,2.23,2.35
3400,1.94,2.23,2.35
3450,1.94,2.23,2.35
3500,1.94,2.23,2.34
3550,1.94,2.23,2.34
3600,1.94,2.23,2.34
3650,1.94,2.23,2.34
3700,1.94,2.23,2.34
3750,1.94,2.23,2.33
3800,1.94,2.23,2.33
3850,1.94,2.23,2.33
3900,1.94,2.23,2.33
3950,1.94,2.23,2.33
4000,1.94,2.23,2.32
4050,1.94,2.23,2.32
4100,1.94,2.23,2.32
4150,1.94,2.23,2.32
4200,1.94,2.23,2.32
4250,1.94,2.23,2.32
4300,1.94,2.23,2.31
4350,1.94,2.23,2.31
4400,1.94,2.23,2.31
4450,1.94,2.23,2.31
4500,1.94,2.23,2.31
4550,1.94,2.23,2.3
4600,1.94,2.23,2.3
4650,1.94,2.23,2.3
4700,1.94,2.23,2.3
4750,1.94,2.23,2.3
4800,1.94,2.23,2.3
4850,1.95,2.23,2.29
4900,1.95,2.23,2.29
4950,1.95,2.23,2.29
5000,1.95,2.23,2.29
5050,1.95,2.23,2.29
5100,1.95,2.23,2.29
5150,1.95,2.24,2.28
5200,1.95,2.24,2.28
5250,1.95,2.24,2.28
5300,1.95,2.24,2.28
