Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.506,0.603,0.724
150,0.733,0.874,1.04
200,0.926,1.1,1.3
250,1.083,1.28,1.5
300,1.209,1.43,1.67
350,1.31,1.55,1.79
400,1.39,1.64,1.89
450,1.45,1.71,1.97
500,1.5,1.77,2.03
550,1.55,1.82,2.08
600,1.58,1.86,2.11
650,1.61,1.89,2.14
700,1.63,1.92,2.17
750,1.65,1.94,2.19
800,1.67,1.96,2.2
850,1.68,1.97,2.22
900,1.69,1.99,2.23
950,1.7,2.0,2.24
1000,1.71,2.01,2.24
1050,1.72,2.02,2.25
1100,1.73,2.03,2.25
1150,1.74,2.04,2.26
1200,1.74,2.04,2.26
1250,1.75,2.05,2.26
1300,1.75,2.05,2.26
1350,1.75,2.06,2.27
1400,1.76,2.06,2.27
1450,1.76,2.07,2.27
1500,1.76,2.07,2.27
1550,1.77,2.07,2.27
1600,1.77,2.08,2.27
1650,1.77,2.08,2.27
1700,1.77,2.08,2.26
1750,1.78,2.08,2.26
1800,1.78,2.08,2.26
1850,1.78,2.09,2.26
1900,1.78,2.09,2.26
1950,1.78,2.09,2.26
2000,1.79,2.09,2.26
2050,1.79,2.09,2.26
2100,1.79,2.09,2.26
2150,1.79,2.1,2.25
2200,1.79,2.1,2.25
2250,1.79,2.1,2.25
2300,1.79,2.1,2.25
2350,1.79,2.1,2.25
2400,1.79,2.1,2.25
2450,1.8,2.1,2.24
2500,1.8,2.1,2.24
2550,1.8,2.1,2.24
2600,1.8,2.11,2.24
2650,1.8,2.11,2.24
2700,1.8,2.11,2.24
2750,1.8,2.11,2.23
2800,1.8,2.11,2.23
2850,1.8,2.11,2.23
2900,1.8,2.11,2.23
2950,1.8,2.11,2.23
3000,1.8,2.11,2.23
3050,1.8,2.11,2.22
3100,1.81,2.11,2.22
3150,1.81,2.11,2.22
3200,1.81,2.12,2.22
3250,1.81,2.12,2.22
3300,1.81,2.12,2.22
3350,1.81,2.12,2.21
3400,1.81,2.12,2.21
3450,1.81,2.12,2.21
3500,1.81,2.12,2.21
3550,1.81,2.12,2.21
3600,1.81,2.12,2.21
3650,1.81,2.12,2.21
3700,1.81,2.12,2.2
3750,1.81,2.12,2.2
3800,1.81,2.12,2.2
3850,1.82,2.12,2.2
3900,1.82,2.13,2.2
3950,1.82,2.13,2.2
4000,1.82,2.13,2.2
4050,1.82,2.13,2.19
4100,1.82,2.13,2.19
4150,1.82,2.13,2.19
4200,1.82,2.13,2.19
4250,1.82,2.13,2.19
4300,1.82,2.13,2.19
4350,1.82,2.13,2.19
4400,1.82,2.13,2.19
4450,1.82,2.13,2.18
4500,1.82,2.13,2.18
4550,1.82,2.13,2.18
4600,1.83,2.13,2.18
4650,1.83,2.13,2.18
4700,1.83,2.14,2.18
4750,1.83,2.14,2.18
4800,1.83,2.14,2.18
4850,1.83,2.14,2.18
4900,1.83,2.14,2.17
4950,1.83,2.14,2.17
5000,1.83,2.14,2.17
5050,1.83,2.14,2.17
5100,1.83,2.14,2.17
5150,1.83,2.14,2.17
5200,1.83,2.14,2.17
5250,1.83,2.14,2.17
5300,1.83,2.14,2.17
5350,1.84,2.14,2.16
5400,1.84,2.14,2.16
5450,1.84,2.14,2.16
5500,1.84,2.14,2.16
5550,1.84,2.15,2.16
5600,1.84,2.15,2.16
5650,1.84,2.15,2.16
5700,1.84,2.15,2.16
5750,1.84,2.15,2.16
5800,1.84,2.15,2.16
5850,1.84,2.15,2.15
5900,1.84,2.15,2.15
5950,1.84,2.15,2.15
6000,1.84,2.15,2.15
6050,1.85,2.15,2.15
6100,1.85,2.15,2.15
6150,1.85,2.15,2.15
6200,1.85,2.15,2.15
6250,1.85,2.15,2.15
6300,1.85,2.15,2.15
6350,1.85,2.16,2.15
6400,1.85,2.16,2.15
6450,1.85,2.16,2.14
6500,1.85,2.16,2.14
6550,1.85,2.16,2.14
6600,1.85,2.16,2.14
6650,1.85,2.16,2.14
6700,1.85,2.16,2.14
6750,1.86,2.16,2.14
6800,1.86,2.16,2.14
6850,1.86,2.16,2.14
6900,1.86,2.16,2.14
6950,1.86,2.16,2.14
7000,1.86,2.16,2.14
7050,1.86,2.16,2.13
7100,1.86,2.16,2.13
7150,1.86,2.16,2.13
7200,1.86,2.16,2.13
7250,1.86,2.17,2.13
7300,1.86,2.17,2.13
7350,1.86,2.17,2.13
7400,1.87,2.17,2.13
7450,1.87,2.17,2.13
7500,1.87,2.17,2.13
7550,1.87,2.17,2.13
7600,1.87,2.17,2.13
7650,1.87,2.17,2.13
7700,1.87,2.17,2.13
7750,1.87,2.17,2.13
7800,1.87,2.17,2.12
7850,1.87,2.17,2.12
7900,1.87,2.17,2.12
7950,1.87,2.17,2.12
8000,1.87,2.17,2.12
8050,1.88,2.17,2.12
8100,1.88,2.17,2.12
8150,1.88,2.18,2.12
8200,1.88,2.18,2.12
8250,1.88,2.18,2.12
8300,1.88,2.18,2.12
8350,1.88,2.18,2.12
8400,1.88,2.18,2.12
8450,1.88,2.18,2.12
8500,1.88,2.18,2.11
8550,1.88,2.18,2.11
8600,1.88,2.18,2.11
8650,1.88,2.18,2.11
8700,1.88,2.18,2.11
8750,1.89,2.18,2.11
8800,1.89,2.18,2.11
8850,1.89,2.18,2.11
8900,1.89,2.18,2.11
8950,1.89,2.18,2.11
9000,1.89,2.18,2.11
9050,1.89,2.18,2.11
9100,1.89,2.18,2.11
9150,1.89,2.18,2.11
9200,1.89,2.18,2.11
9250,1.89,2.18,2.1
9300,1.89,2.18,2.1
9350,1.89,2.19,2.1
9400,1.89,2.18,2.1
9450,1.9,2.19,2.1
9500,1.9,2.19,2.1
9550,1.9,2.19,2.1
9600,1.9,2.19,2.1
9650,1.9,2.19,2.1
9700,1.9,2.19,2.1
9750,1.9,2.19,2.1
9800,1.9,2.19,2.1
9850,1.9,2.19,2.1
9900,1.9,2.19,2.1
9950,1.9,2.19,2.09
10000,1.9,2.19,2.09
