Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.518,0.623,0.738
150,0.753,0.901,1.058
200,0.949,1.133,1.32
250,1.109,1.32,1.52
300,1.235,1.47,1.69
350,1.34,1.58,1.81
400,1.42,1.68,1.91
450,1.48,1.75,1.98
500,1.53,1.81,2.04
550,1.57,1.86,2.08
600,1.6,1.89,2.12
650,1.63,1.93,2.15
700,1.65,1.95,2.17
750,1.67,1.97,2.19
800,1.69,1.99,2.21
850,1.7,2.01,2.22
900,1.72,2.02,2.23
950,1.73,2.03,2.24
1000,1.74,2.04,2.24
1050,1.74,2.05,2.25
1100,1.75,2.06,2.25
1150,1.76,2.07,2.26
1200,1.76,2.07,2.26
1250,1.77,2.08,2.26
1300,1.77,2.08,2.26
1350,1.78,2.09,2.26
1400,1.78,2.09,2.26
1450,1.78,2.1,2.26
1500,1.78,2.1,2.26
1550,1.79,2.1,2.26
1600,1.79,2.11,2.26
1650,1.79,2.11,2.26
1700,1.79,2.11,2.26
1750,1.8,2.11,2.26
1800,1.8,2.11,2.25
1850,1.8,2.12,2.25
1900,1.8,2.12,2.25
1950,1.8,2.12,2.25
2000,1.8,2.12,2.25
2050,1.81,2.12,2.25
2100,1.81,2.12,2.25
2150,1.81,2.13,2.24
2200,1.81,2.13,2.24
2250,1.81,2.13,2.24
2300,1.81,2.13,2.24
2350,1.81,2.13,2.24
2400,1.81,2.13,2.23
2450,1.81,2.13,2.23
2500,1.81,2.13,2.23
2550,1.82,2.13,2.23
2600,1.82,2.13,2.23
2650,1.82,2.13,2.23
2700,1.82,2.14,2.22
2750,1.82,2.14,2.22
2800,1.82,2.14,2.22
2850,1.82,2.14,2.22
2900,1.82,2.14,2.22
2950,1.82,2.14,2.22
3000,1.82,2.14,2.21
3050,1.82,2.14,2.21
3100,1.82,2.14,2.21
3150,1.82,2.14,2.21
3200,1.83,2.14,2.21
3250,1.83,2.14,2.21
3300,1.83,2.14,2.2
3350,1.83,2.14,2.2
3400,1.83,2.14,2.2
3450,1.83,2.14,2.2
3500,1.83,2.15,2.2
3550,1.83,2.15,2.19
3600,1.83,2.15,2.19
3650,1.83,2.15,2.19
3700,1.83,2.15,2.19
3750,1.83,2.15,2.19
3800,1.83,2.15,2.19
3850,1.83,2.15,2.19
3900,1.83,2.15,2.18
3950,1.83,2.15,2.18
4000,1.83,2.15,2.18
4050,1.83,2.15,2.18
4100,1.83,2.15,2.18
4150,1.84,2.15,2.18
4200,1.84,2.15,2.18
4250,1.84,2.15,2.17
4300,1.84,2.15,2.17
4350,1.84,2.15,2.17
4400,1.84,2.15,2.17
4450,1.84,2.15,2.17
4500,1.84,2.16,2.17
4550,1.84,2.16,2.17
4600,1.84,2.16,2.17
4650,1.84,2.16,2.16
4700,1.84,2.16,2.16
4750,1.84,2.16,2.16
4800,1.84,2.16,2.16
4850,1.84,2.16,2.16
4900,1.84,2.16,2.16
4950,1.84,2.16,2.16
5000,1.85,2.16,2.16
5050,1.85,2.16,2.16
5100,1.85,2.16,2.15
5150,1.85,2.16,2.15
5200,1.85,2.16,2.15
5250,1.85,2.16,2.15
5300,1.85,2.16,2.15
5350,1.85,2.16,2.15
5400,1.85,2.16,2.15
5450,1.85,2.16,2.15
5500,1.85,2.16,2.14
5550,1.85,2.16,2.14
5600,1.85,2.16,2.14
5650,1.85,2.16,2.14
5700,1.85,2.16,2.14
5750,1.85,2.17,2.14
5800,1.85,2.17,2.14
5850,1.85,2.17,2.14
5900,1.85,2.17,2.14
5950,1.86,2.17,2.14
6000,1.86,2.17,2.13
6050,1.86,2.17,2.13
6100,1.86,2.17,2.13
6150,1.86,2.17,2.13
6200,1.86,2.17,2.13
6250,1.86,2.17,2.13
6300,1.86,2.17,2.13
6350,1.86,2.17,2.13
6400,1.86,2.17,2.13
6450,1.86,2.17,2.13
6500,1.86,2.17,2.13
6550,1.86,2.17,2.12
6600,1.86,2.17,2.12
6650,1.86,2.17,2.12
6700,1.87,2.17,2.12
6750,1.87,2.17,2.12
6800,1.87,2.17,2.12
6850,1.87,2.17,2.12
6900,1.87,2.17,2.12
6950,1.87,2.17,2.12
7000,1.87,2.17,2.12
7050,1.87,2.17,2.11
7100,1.87,2.17,2.11
7150,1.87,2.17,2.11
7200,1.87,2.17,2.11
7250,1.87,2.18,2.11
7300,1.87,2.18,2.11
7350,1.87,2.18,2.11
7400,1.87,2.18,2.11
7450,1.87,2.18,2.11
7500,1.87,2.18,2.11
7550,1.87,2.18,2.11
7600,1.88,2.18,2.11
7650,1.88,2.18,2.11
7700,1.88,2.18,2.1
7750,1.88,2.18,2.1
7800,1.88,2.18,2.1
7850,1.88,2.18,2.1
7900,1.88,2.18,2.1
7950,1.88,2.18,2.1
8000,1.88,2.18,2.1
8050,1.88,2.18,2.1
8100,1.88,2.18,2.1
8150,1.88,2.18,2.1
8200,1.88,2.18,2.1
8250,1.88,2.18,2.1
8300,1.88,2.18,2.09
8350,1.88,2.18,2.09
8400,1.89,2.18,2.09
8450,1.89,2.18,2.09
8500,1.89,2.18,2.09
8550,1.89,2.18,2.09
8600,1.89,2.18,2.09
8650,1.89,2.18,2.09
8700,1.89,2.18,2.09
8750,1.89,2.18,2.09
8800,1.89,2.18,2.09
8850,1.89,2.18,2.09
8900,1.89,2.18,2.08
8950,1.89,2.18,2.08
9000,1.89,2.18,2.08
9050,1.89,2.18,2.08
9100,1.89,2.18,2.08
9150,1.89,2.18,2.08
9200,1.89,2.18,2.08
9250,1.9,2.18,2.08
9300,1.9,2.18,2.08
9350,1.9,2.18,2.08
9400,1.9,2.18,2.08
9450,1.9,2.18,2.08
9500,1.9,2.18,2.08
9550,1.9,2.18,2.07
9600,1.9,2.18,2.07
9650,1.9,2.18,2.07
9700,1.9,2.18,2.07
9750,1.9,2.18,2.07
9800,1.9,2.18,2.07
9850,1.9,2.18,2.07
9900,1.9,2.18,2.07
9950,1.9,2.18,2.07
10000,1.9,2.18,2.07
