Frequency (Hz),VS0 (Air core) RMS (V),VS1 (N1) RMS (V),VS2 (N2) RMS (V)
100,0.369,0.433,0.52
150,0.537,0.629,0.753
200,0.679,0.796,0.946
250,0.798,0.932,1.101
300,0.893,1.041,1.224
350,0.969,1.128,1.32
400,1.029,1.198,1.4
450,1.078,1.254,1.46
500,1.117,1.3,1.5
550,1.149,1.34,1.54
600,1.176,1.37,1.57
650,1.198,1.39,1.6
700,1.216,1.41,1.62
750,1.231,1.43,1.63
800,1.244,1.44,1.65
850,1.255,1.46,1.66
900,1.265,1.47,1.67
950,1.273,1.48,1.68
1000,1.28,1.48,1.68
1050,1.29,1.49,1.69
1100,1.29,1.5,1.69
1150,1.3,1.5,1.7
1200,1.3,1.51,1.7
1250,1.31,1.51,1.7
1300,1.31,1.52,1.7
1350,1.31,1.52,1.71
1400,1.31,1.52,1.71
1450,1.32,1.52,1.71
1500,1.32,1.53,1.71
1550,1.32,1.53,1.71
1600,1.32,1.53,1.71
1650,1.33,1.53,1.71
1700,1.33,1.54,1.71
1750,1.33,1.54,1.71
1800,1.33,1.54,1.71
1850,1.33,1.54,1.71
1900,1.33,1.54,1.71
1950,1.33,1.54,1.71
2000,1.33,1.54,1.7
2050,1.34,1.54,1.7
2100,1.34,1.55,1.7
2150,1.34,1.55,1.7
2200,1.34,1.55,1.7
2250,1.34,1.55,1.7
2300,1.34,1.55,1.7
2350,1.34,1.55,1.7
2400,1.34,1.55,1.7
2450,1.34,1.55,1.7
2500,1.34,1.55,1.69
2550,1.34,1.55,1.69
2600,1.34,1.55,1.69
2650,1.34,1.55,1.69
2700,1.34,1.55,1.69
2750,1.34,1.55,1.69
2800,1.34,1.55,1.69
2850,1.34,1.55,1.69
2900,1.35,1.55,1.69
2950,1.34,1.56,1.68
3000,1.35,1.56,1.68
3050,1.35,1.56,1.68
3100,1.35,1.56,1.68
3150,1.35,1.56,1.68
3200,1.35,1.56,1.68
3250,1.35,1.56,1.68
3300,1.35,1.56,1.68
3350,1.35,1.56,1.67
3400,1.35,1.56,1.67
3450,1.35,1.56,1.67
3500,1.35,1.56,1.67
3550,1.35,1.56,1.67
3600,1.35,1.56,1.67
3650,1.35,1.56,1.67
3700,1.35,1.56,1.67
3750,1.35,1.56,1.66
3800,1.35,1.56,1.66
3850,1.35,1.56,1.66
3900,1.35,1.56,1.66
3950,1.35,1.56,1.66
4000,1.35,1.56,1.66
4050,1.35,1.56,1.66
4100,1.35,1.56,1.65
4150,1.35,1.56,1.65
4200,1.35,1.56,1.65
4250,1.35,1.56,1.65
4300,1.35,1.56,1.65
4350,1.35,1.56,1.65
4400,1.35,1.56,1.65
4450,1.35,1.56,1.65
4500,1.35,1.56,1.65
4550,1.35,1.56,1.64
4600,1.35,1.56,1.64
4650,1.35,1.56,1.64
4700,1.35,1.56,1.64
4750,1.35,1.56,1.64
4800,1.36,1.56,1.64
4850,1.36,1.56,1.64
4900,1.36,1.56,1.63
4950,1.36,1.56,1.63
5000,1.36,1.56,1.63
5050,1.36,1.56,1.63
5100,1.36,1.56,1.63
5150,1.36,1.56,1.63
5200,1.36,1.56,1.63
5250,1.36,1.56,1.63
5300,1.36,1.56,1.63
5350,1.36,1.56,1.62
5400,1.36,1.56,1.62
5450,1.36,1.56,1.62
5500,1.36,1.56,1.62
5550,1.36,1.56,1.62
5600,1.36,1.56,1.62
5650,1.36,1.56,1.62
5700,1.36,1.56,1.62
5750,1.36,1.56,1.61
5800,1.36,1.56,1.61
5850,1.36,1.56,1.61
5900,1.36,1.56,1.61
5950,1.36,1.56,1.61
6000,1.36,1.56,1.61
6050,1.36,1.56,1.61
6100,1.36,1.56,1.61
6150,1.36,1.56,1.61
6200,1.36,1.56,1.6
6250,1.36,1.56,1.6
6300,1.36,1.56,1.6
6350,1.36,1.56,1.6
6400,1.36,1.56,1.6
6450,1.36,1.56,1.6
6500,1.36,1.56,1.6
6550,1.36,1.56,1.6
6600,1.36,1.56,1.59
6650,1.36,1.56,1.59
6700,1.36,1.56,1.59
6750,1.36,1.56,1.59
6800,1.36,1.56,1.59
6850,1.36,1.56,1.59
6900,1.36,1.56,1.59
6950,1.36,1.56,1.59
7000,1.36,1.56,1.58
7050,1.36,1.56,1.58
7100,1.36,1.56,1.58
7150,1.36,1.56,1.58
7200,1.36,1.56,1.58
7250,1.36,1.56,1.58
7300,1.36,1.56,1.58
7350,1.36,1.56,1.58
7400,1.36,1.56,1.58
7450,1.36,1.56,1.57
7500,1.36,1.56,1.57
7550,1.36,1.56,1.57
7600,1.36,1.56,1.57
7650,1.36,1.56,1.57
7700,1.36,1.56,1.57
7750,1.36,1.56,1.57
7800,1.36,1.56,1.57
7850,1.36,1.56,1.57
7900,1.36,1.56,1.56
7950,1.36,1.56,1.56
8000,1.37,1.56,1.56
8050,1.37,1.56,1.56
8100,1.37,1.56,1.56
8150,1.37,1.56,1.56
8200,1.37,1.56,1.56
8250,1.37,1.56,1.56
8300,1.37,1.56,1.56
8350,1.37,1.56,1.55
8400,1.37,1.56,1.55
8450,1.37,1.56,1.55
8500,1.37,1.55,1.55
8550,1.37,1.55,1.55
8600,1.37,1.55,1.55
8650,1.37,1.55,1.55
8700,1.37,1.55,1.55
8750,1.37,1.55,1.55
8800,1.37,1.55,1.54
8850,1.37,1.55,1.54
8900,1.37,1.55,1.54
8950,1.37,1.55,1.54
9000,1.37,1.55,1.54
9050,1.37,1.55,1.54
9100,1.37,1.55,1.54
9150,1.37,1.55,1.54
9200,1.37,1.55,1.54
9250,1.37,1.55,1.53
9300,1.37,1.55,1.53
9350,1.37,1.55,1.53
9400,1.37,1.55,1.53
9450,1.37,1.55,1.53
9500,1.37,1.55,1.53
9550,1.37,1.55,1.53
9600,1.37,1.55,1.53
9650,1.37,1.55,1.52
9700,1.37,1.55,1.52
9750,1.37,1.55,1.52
9800,1.37,1.55,1.52
9850,1.37,1.55,1.52
9900,1.37,1.55,1.52
9950,1.37,1.55,1.52
10000,1.37,1.54,1.52
